year,site,individual,station
2015,Jus,1002,Saint-Just-d'Ardeche
2015,Jus,1003,Saint-Just-d'Ardeche
2015,Jus,1004,Saint-Just-d'Ardeche
2015,Jus,1005,Saint-Just-d'Ardeche
2015,Jus,1006,Saint-Just-d'Ardeche
2015,Jus,1007,Saint-Just-d'Ardeche
2015,Jus,1008,Saint-Just-d'Ardeche
2015,Jus,1009,Saint-Just-d'Ardeche
2015,Jus,1010,Saint-Just-d'Ardeche
2015,Jus,1011,Saint-Just-d'Ardeche
2015,Jus,1012,Saint-Just-d'Ardeche
2015,Jus,1013,Saint-Just-d'Ardeche
2015,Jus,1014,Saint-Just-d'Ardeche
2015,Jus,1015,Saint-Just-d'Ardeche
2015,Jus,1016,Saint-Just-d'Ardeche
2015,Jus,1017,Saint-Just-d'Ardeche
2015,Jus,1018,Saint-Just-d'Ardeche
2015,Jus,1019,Saint-Just-d'Ardeche
2015,Per,2015,Pertuis
