individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_sept_25chr,index_median,D,sexe,taille_cm,n_tissus_sequences,n_chromosomes_introgresses,type_genome,classe_aout_12chr,change_aout_sept,cluster_k8,Qvalues_presentes,n_tissus_utilisables
2014_Bue_1006,Bue,Büech,Durance,2014,1006,Cn,Hy,0.9121695,0.13014099999999995,,27.0,4,,intermediaire,Hy,False,6.0,True,4
2014_Bue_1007,Bue,Büech,Durance,2014,1007,Cn,Cn,0.9999,0.051342,,26.0,4,0.0,pur,Cn,False,5.0,True,3
2014_Bue_1008,Bue,Büech,Durance,2014,1008,Cn,Cn,0.9999,0.08782500000000004,,23.5,4,0.0,pur,Cn,False,5.0,True,3
2014_Bue_1011,Bue,Büech,Durance,2014,1011,Ch,Pt,0.0001,0.0232161,M,14.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1012,Bue,Büech,Durance,2014,1012,Ch,Pt,0.0001,0.00528295,M,18.5,4,0.0,pur,Pt,False,3.0,True,3
2014_Bue_1013,Bue,Büech,Durance,2014,1013,Ch,Pt,0.0001,0.023389300000000002,,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1014,Bue,Büech,Durance,2014,1014,Ch,Pt,0.0001,0.0232598,,13.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1015,Bue,Büech,Durance,2014,1015,Ch,Pt,0.0001,0.027206,,12.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1016,Bue,Büech,Durance,2014,1016,Ch,Hy,0.0001,0.548486,,18.5,3,1.0,quasi-pur,Pt,True,4.0,True,2
2014_Bue_1017,Bue,Büech,Durance,2014,1017,Ch,Pt,0.000783705,0.0461609,,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1018,Bue,Büech,Durance,2014,1018,Ch,Pt,0.0001,0.009559940000000001,,15.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Bue_1019,Bue,Büech,Durance,2014,1019,Ch,Pt,0.0001,0.014169300000000001,,12.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1001,Man,Manosque,Durance,2014,1001,Cn,Pt,0.0001,0.0031458500000000004,X,13.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1002,Man,Manosque,Durance,2014,1002,Cn,Hy,0.0033073315,0.36553259699999996,M,14.5,4,1.0,quasi-pur,Hy,False,3.0,True,3
2014_Man_1010,Man,Manosque,Durance,2014,1010,Cn,Hy,0.0001,0.541886,X,11.5,4,1.0,quasi-pur,Pt,True,4.0,True,4
2014_Man_1011,Man,Manosque,Durance,2014,1011,Ch,Hy,0.0001,0.150792,M,13.5,4,1.0,quasi-pur,Pt,True,3.0,True,3
2014_Man_1012,Man,Manosque,Durance,2014,1012,Ch,Pt,0.0001,0.0196271,X,11.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1013,Man,Manosque,Durance,2014,1013,Ch,Pt,0.0001,0.0236388,X,11.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1014,Man,Manosque,Durance,2014,1014,Ch,Pt,0.0001,0.0023953100000000003,M,11.5,4,0.0,pur,Pt,False,3.0,True,3
2014_Man_1015,Man,Manosque,Durance,2014,1015,Ch,Pt,0.0001,0.0150422,X,11.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1016,Man,Manosque,Durance,2014,1016,Ch,Pt,0.0001,0.00548115,X,11.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1017,Man,Manosque,Durance,2014,1017,Ch,Pt,0.0001,0.0,X,12.0,4,0.0,pur,Pt,False,3.0,True,3
2014_Man_1018,Man,Manosque,Durance,2014,1018,Ch,Pt,0.0001,0.0202354,X,11.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1019,Man,Manosque,Durance,2014,1019,Ch,Pt,0.0001,0.00794395,X,9.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Man_1020,Man,Manosque,Durance,2014,1020,Ch,Hy,0.0001,0.53728,X,9.5,4,1.0,quasi-pur,Pt,True,4.0,True,4
2014_Man_1021,Man,Manosque,Durance,2014,1021,Ch,Hy,0.2031505,0.11557959999999999,M,11.0,4,,intermediaire,Hy,False,1.0,True,4
2014_Man_1022,Man,Manosque,Durance,2014,1022,Ch,Pt,0.0001,0.037273099999999997,X,10.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_1011,Per,Pertuis,Durance,2014,1011,Ch,Pt,0.0001,0.01805,X,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_1012,Per,Pertuis,Durance,2014,1012,Ch,Pt,0.0001,0.00345481,X,12.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_1013,Per,Pertuis,Durance,2014,1013,Ch,Pt,0.0001,0.008341040000000001,,,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_1014,Per,Pertuis,Durance,2014,1014,Ch,Pt,0.0001,0.00841852,M,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_2011,Per,Pertuis,Durance,2014,2011,Ch,Pt,0.0001,0.0198136,F,16.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_2012,Per,Pertuis,Durance,2014,2012,Ch,Pt,0.0001,0.0116568,M,15.0,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_2013,Per,Pertuis,Durance,2014,2013,Ch,Hy,0.2198655,0.180019,M,15.0,4,,intermediaire,Hy,False,1.0,True,4
2014_Per_2014,Per,Pertuis,Durance,2014,2014,Ch,Pt,0.0001,0.0214416,M,13.5,4,0.0,pur,Pt,False,3.0,True,4
2014_Per_2015,Per,Pertuis,Durance,2014,2015,Ch,Pt,0.0001,0.013716,M,15.0,3,0.0,pur,Pt,False,3.0,True,3
2015_Avi_1001,Avi,Avignon,Durance,2015,1001,Cn,Hy,0.9999,0.36144699999999996,M,34.5,4,2.0,quasi-pur,Hy,False,5.0,True,3
2015_Avi_1002,Avi,Avignon,Durance,2015,1002,Cn,Hy,0.5332760000000001,0.09875,F,26.0,4,,intermediaire,Hy,False,8.0,True,3
2015_Avi_1003,Avi,Avignon,Durance,2015,1003,Cn,Cn,0.9999,0.029437000000000046,M,26.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Avi_1004,Avi,Avignon,Durance,2015,1004,Cn,Cn,0.9999,0.02282200000000001,F,32.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Avi_1005,Avi,Avignon,Durance,2015,1005,Cn,Cn,0.9999,0.06482699999999997,M,27.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Avi_1006,Avi,Avignon,Durance,2015,1006,Cn,Cn,0.989617,0.10409399999999991,X,15.0,4,0.0,pur,Cn,False,5.0,True,3
2015_Avi_1007,Avi,Avignon,Durance,2015,1007,Cn,Cn,0.9999,0.08638400000000002,X,11.5,4,0.0,pur,Cn,False,5.0,True,3
2015_Avi_1008,Avi,Avignon,Durance,2015,1008,Cn,Cn,0.9999,0.07506800000000002,X,12.0,4,0.0,pur,Cn,False,5.0,True,3
2015_Avi_1009,Avi,Avignon,Durance,2015,1009,Cn,Cn,0.9999,0.06070900000000001,X,12.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Avi_1010,Avi,Avignon,Durance,2015,1010,Cn,Cn,0.9999,0.05637199999999998,X,11.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Avi_1011,Avi,Avignon,Durance,2015,1011,Cn,Hy,0.9999,0.27303200000000005,X,13.0,4,1.0,quasi-pur,Cn,True,5.0,True,4
2015_Avi_1012,Avi,Avignon,Durance,2015,1012,Pt,Hy,0.0001,0.39093300000000003,F,20.0,4,1.0,quasi-pur,Hy,False,3.0,True,4
2015_Avi_1013,Avi,Avignon,Durance,2015,1013,Pt,Hy,0.486507,0.485502,M,23.0,4,,intermediaire,Hy,False,2.0,True,4
2015_Bau_1001,Bau,Baume,Ardèche,2015,1001,Ch,Pt,0.0001,0.014966100000000001,F,21.5,4,0.0,pur,Pt,False,3.0,True,3
2015_Bau_1002,Bau,Baume,Ardèche,2015,1002,Ch,Pt,0.0001,0.00046527,F,17.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1003,Bau,Baume,Ardèche,2015,1003,Ch,Pt,0.0001,0.00467187,M,23.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1004,Bau,Baume,Ardèche,2015,1004,Ch,Hy,0.0001,0.544673,F,17.0,4,1.0,quasi-pur,Pt,True,4.0,True,4
2015_Bau_1005,Bau,Baume,Ardèche,2015,1005,Ch,Pt,0.0004327165,0.0439178,M,21.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1006,Bau,Baume,Ardèche,2015,1006,Ch,Hy,0.532302,0.11761900000000003,F,24.0,4,,intermediaire,Hy,False,8.0,True,3
2015_Bau_1007,Bau,Baume,Ardèche,2015,1007,Ch,Pt,0.0001,0.00827844,F,24.0,4,0.0,pur,Pt,False,3.0,True,3
2015_Bau_1008,Bau,Baume,Ardèche,2015,1008,Ch,Pt,0.0001,0.039034,M,18.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1009,Bau,Baume,Ardèche,2015,1009,Ch,Pt,0.0001,0.0392003,F,22.0,4,0.0,pur,Pt,False,3.0,True,3
2015_Bau_1010,Bau,Baume,Ardèche,2015,1010,Ch,Hy,0.0001,0.436519,M,18.5,4,2.0,quasi-pur,Hy,False,3.0,True,3
2015_Bau_1011,Bau,Baume,Ardèche,2015,1011,Ch,Pt,0.0001,0.0441393,M,21.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1012,Bau,Baume,Ardèche,2015,1012,Ch,Pt,0.0001,0.014222100000000001,F,17.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1013,Bau,Baume,Ardèche,2015,1013,Ch,Pt,0.0001,0.0409044,M,16.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1014,Bau,Baume,Ardèche,2015,1014,Ch,Pt,0.0041515200000000006,0.03864973,,22.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1015,Bau,Baume,Ardèche,2015,1015,Ch,Pt,0.0001,0.0171402,M,19.0,4,0.0,pur,Pt,False,3.0,True,2
2015_Bau_1016,Bau,Baume,Ardèche,2015,1016,Ch,Hy,0.02137565,0.5148007,F,18.0,4,6.0,quasi-pur,Hy,False,4.0,True,3
2015_Bau_1017,Bau,Baume,Ardèche,2015,1017,Ch,Pt,0.0156073,0.0435763,M,17.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1018,Bau,Baume,Ardèche,2015,1018,Ch,Pt,0.00279143,0.11166287999999999,M,19.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1019,Bau,Baume,Ardèche,2015,1019,Ch,Hy,0.0001,0.46752,M,15.0,4,1.0,quasi-pur,Pt,True,4.0,True,4
2015_Bau_1020,Bau,Baume,Ardèche,2015,1020,Ch,Hy,0.0001,0.206549,M,18.5,4,1.0,quasi-pur,Hy,False,3.0,True,4
2015_Bau_1021,Bau,Baume,Ardèche,2015,1021,Ch,Hy,0.0001,0.22296500000000002,F,18.0,4,2.0,quasi-pur,Pt,True,3.0,True,4
2015_Bau_1022,Bau,Baume,Ardèche,2015,1022,Ch,Pt,0.0259996,0.0554766,M,16.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1023,Bau,Baume,Ardèche,2015,1023,Ch,Pt,0.0001,0.030756000000000002,M,17.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1024,Bau,Baume,Ardèche,2015,1024,Ch,Pt,0.0001,0.0625971,M,17.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bau_1025,Bau,Baume,Ardèche,2015,1025,Ch,Pt,0.027908549999999997,0.0675632,M,18.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bue_1001,Bue,Büech,Durance,2015,1001,Ch,Cn,0.9999,0.11253900000000006,M,30.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Bue_1002,Bue,Büech,Durance,2015,1002,Ch,Cn,0.9999,0.062025,M,30.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Bue_1003,Bue,Büech,Durance,2015,1003,Ch,Cn,0.9999,0.05003800000000003,M,33.5,4,0.0,pur,Cn,False,5.0,True,3
2015_Bue_1004,Bue,Büech,Durance,2015,1004,Ch,Pt,0.0001,0.013335600000000001,M,16.5,4,0.0,pur,Pt,False,3.0,True,3
2015_Bue_1005,Bue,Büech,Durance,2015,1005,Ch,Hy,0.10963200000000001,0.09148700000000001,F,16.0,4,,intermediaire,Hy,False,3.0,True,1
2015_Bue_1006,Bue,Büech,Durance,2015,1006,Ch,Pt,0.00977642,0.11199993999999999,F,18.0,4,1.0,pur,Hy,True,3.0,True,3
2015_Bue_1007,Bue,Büech,Durance,2015,1007,Ch,Hy,0.1950015,0.25095900000000004,M,15.0,4,,intermediaire,Hy,False,1.0,True,3
2015_Bue_1008,Bue,Büech,Durance,2015,1008,Ch,Pt,0.0001,0.00945818,M,12.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Bue_1009,Bue,Büech,Durance,2015,1009,Ch,Hy,0.923671,0.117506,M,30.5,4,,intermediaire,Hy,False,6.0,True,2
2015_Bue_1010,Bue,Büech,Durance,2015,1010,Ch,Hy,0.5328085,0.11912400000000001,M,25.0,4,,intermediaire,Hy,False,8.0,True,2
2015_Bue_1011,Bue,Büech,Durance,2015,1011,Ch,Hy,0.7016235,0.18483100000000008,X,29.0,4,,intermediaire,Hy,False,7.0,True,2
2015_Bue_1012,Bue,Büech,Durance,2015,1012,Ch,Hy,0.0001,0.393005,M,19.5,4,2.0,quasi-pur,Hy,False,3.0,True,4
2015_Bue_1013,Bue,Büech,Durance,2015,1013,Ch,Pt,0.0001,0.0261861,M,21.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bue_1014,Bue,Büech,Durance,2015,1014,Ch,Pt,0.001654999999999962,0.0,M,18.0,4,,pur,Pt,False,,False,2
2015_Bue_1015,Bue,Büech,Durance,2015,1015,Ch,Pt,0.0001,0.031961699999999996,M,16.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Bue_1016,Bue,Büech,Durance,2015,1016,Ch,Hy,0.8773055000000001,0.14454200000000006,M,30.0,4,,intermediaire,Hy,False,6.0,True,3
2015_Bue_1017,Bue,Büech,Durance,2015,1017,Ch,Cn,0.9986444999999999,0.11279799999999995,M,31.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Bue_1018,Bue,Büech,Durance,2015,1018,Ch,Hy,0.903581,0.0938,X,31.0,4,,intermediaire,Hy,False,6.0,True,3
2015_Caa_1001,Caa,canal,Durance,2015,1001,Ch,Cn,0.9453020000000001,0.06286999999999998,X,14.0,4,0.0,pur,Cn,False,6.0,True,3
2015_Caa_1002,Caa,canal,Durance,2015,1002,Ch,Cn,0.9882955,0.09146199999999993,X,13.0,4,0.0,pur,Cn,False,6.0,True,1
2015_Caa_1003,Caa,canal,Durance,2015,1003,Ch,Cn,0.9999,0.10541,X,12.0,4,0.0,pur,Cn,False,5.0,True,3
2015_Caa_1004,Caa,canal,Durance,2015,1004,Ch,Cn,0.9999,0.034646000000000066,X,12.5,4,0.0,pur,Cn,False,5.0,True,2
2015_Caa_1005,Caa,canal,Durance,2015,1005,Ch,Cn,0.9999,0.05433500000000002,X,13.0,4,0.0,pur,Cn,False,5.0,True,3
2015_Caa_1006,Caa,canal,Durance,2015,1006,Ch,Hy,0.929003,0.13254100000000002,X,11.5,4,,intermediaire,Hy,False,6.0,True,1
2015_Caa_1007,Caa,canal,Durance,2015,1007,Ch,Cn,0.9937515,0.05602700000000005,X,11.5,4,0.0,pur,Cn,False,5.0,True,2
2015_Caa_1008,Caa,canal,Durance,2015,1008,Ch,Hy,0.9088324999999999,0.083839,X,11.5,4,,intermediaire,Hy,False,6.0,True,3
2015_Caa_1009,Caa,canal,Durance,2015,1009,Ch,Cn,0.9999,0.04223699999999997,X,12.0,4,0.0,pur,Cn,False,5.0,True,3
2015_Caa_1010,Caa,canal,Durance,2015,1010,Ch,Cn,0.9999,0.04478099999999996,X,11.5,4,0.0,pur,Cn,False,5.0,True,3
2015_Caa_1011,Caa,canal,Durance,2015,1011,Ch,Pt,0.0001,0.0906421,F,18.0,4,0.0,pur,Pt,False,3.0,True,3
2015_Caa_1012,Caa,canal,Durance,2015,1012,Ch,Pt,0.0001,0.041587799999999994,M,15.5,4,0.0,pur,Pt,False,3.0,True,3
2015_Caa_1013,Caa,canal,Durance,2015,1013,Ch,Pt,0.0001,0.0214899,M,16.5,4,0.0,pur,Pt,False,3.0,True,3
2015_Caa_1014,Caa,canal,Durance,2015,1014,Ch,Pt,0.0001,0.0166507,M,15.0,4,0.0,pur,Pt,False,3.0,True,3
2015_Caa_1015,Caa,canal,Durance,2015,1015,Ch,Hy,0.757729,0.536578,M,14.5,4,,intermediaire,Hy,False,7.0,True,2
2015_Caa_1016,Caa,canal,Durance,2015,1016,Ch,Hy,0.0001,0.217309,X,11.5,4,1.0,quasi-pur,Pt,True,3.0,True,3
2015_Caa_1017,Caa,canal,Durance,2015,1017,Ch,Hy,0.09426745,0.09093029999999999,X,12.5,4,,intermediaire,Hy,False,3.0,True,2
2015_Caa_1018,Caa,canal,Durance,2015,1018,Ch,Pt,0.0001,0.0258486,X,10.5,4,0.0,pur,Pt,False,3.0,True,2
2015_Caa_1019,Caa,canal,Durance,2015,1019,Ch,Hy,0.0001,0.204538,X,12.0,4,1.0,quasi-pur,Pt,True,3.0,True,2
2015_Caa_1020,Caa,canal,Durance,2015,1020,Ch,Pt,0.0001,0.0260511,X,9.5,4,0.0,pur,Pt,False,3.0,True,3
2015_Cab_1001,Cab,Ain,Ain,2015,1001,Ch,Cn,0.9999,0.07011200000000006,F,50.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1002,Cab,Ain,Ain,2015,1002,Ch,Cn,0.9621175,0.11881600000000003,F,50.0,4,2.0,pur,Cn,False,6.0,True,4
2015_Cab_1003,Cab,Ain,Ain,2015,1003,Ch,Cn,0.9853205,0.07044000000000006,M,19.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1004,Cab,Ain,Ain,2015,1004,Ch,Cn,0.9928969999999999,0.09601099999999996,M,42.5,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1005,Cab,Ain,Ain,2015,1005,Ch,Cn,0.9999,0.06788400000000006,F,43.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1006,Cab,Ain,Ain,2015,1006,Ch,Cn,0.9639584999999999,0.11277499999999996,F,32.5,4,1.0,pur,Cn,False,6.0,True,4
2015_Cab_1007,Cab,Ain,Ain,2015,1007,Ch,Cn,0.995183,0.09474300000000002,M,26.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1008,Cab,Ain,Ain,2015,1008,Ch,Cn,0.9999,0.04319700000000004,M,47.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Cab_1009,Cab,Ain,Ain,2015,1009,Ch,Hy,0.890151,0.11474100000000009,F,42.0,4,,intermediaire,Hy,False,6.0,True,4
2015_Cab_1010,Cab,Ain,Ain,2015,1010,Ch,Hy,0.7683775,0.08803699999999992,M,40.0,4,,intermediaire,Hy,False,7.0,True,4
2015_Cab_1011,Cab,Ain,Ain,2015,1011,Ch,Pt,0.00042399999999997995,0.0,F,23.0,4,,pur,Pt,False,,False,3
2015_Cab_1012,Cab,Ain,Ain,2015,1012,Ch,Pt,0.0001,0.0457478,F,18.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1013,Cab,Ain,Ain,2015,1013,Ch,Pt,0.0011805750000000001,0.0673957,F,22.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1014,Cab,Ain,Ain,2015,1014,Ch,Pt,0.0001,0.0326654,F,18.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1015,Cab,Ain,Ain,2015,1015,Ch,Pt,0.0001,0.0122371,M,17.5,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1016,Cab,Ain,Ain,2015,1016,Ch,Pt,0.0001,0.011198000000000001,M,18.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1017,Cab,Ain,Ain,2015,1017,Ch,Pt,0.0001,0.0292887,M,17.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1018,Cab,Ain,Ain,2015,1018,Ch,Pt,0.0014135950000000001,0.06546359,M,19.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Cab_1019,Cab,Ain,Ain,2015,1019,Ch,Pt,0.0001,0.0103135,M,18.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Jus_1001,Jus,St-Just,Ardèche,2015,1001,Ch,Pt,0.0001,0.0,F,16.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Jus_1002,Jus,St-Just,Ardèche,2015,1002,Ch,Hy,0.0001,0.585273,M,22.0,4,1.0,quasi-pur,Pt,True,4.0,True,4
2015_Jus_1003,Jus,St-Just,Ardèche,2015,1003,Ch,Hy,0.0308161,0.2172725,X,15.5,4,1.0,quasi-pur,Pt,True,3.0,True,4
2015_Jus_1004,Jus,St-Just,Ardèche,2015,1004,Ch,Hy,0.0001,0.59975,M,16.0,4,1.0,quasi-pur,Pt,True,4.0,True,4
2015_Jus_1005,Jus,St-Just,Ardèche,2015,1005,Ch,Hy,0.0001,0.5155460000000001,M,15.5,4,1.0,quasi-pur,Pt,True,4.0,True,4
2015_Jus_1006,Jus,St-Just,Ardèche,2015,1006,Ch,Pt,0.0001,0.0211963,X,15.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Jus_1007,Jus,St-Just,Ardèche,2015,1007,Ch,Pt,0.0001,0.014199,M,17.0,4,0.0,pur,Pt,False,3.0,True,4
2015_Jus_1008,Jus,St-Just,Ardèche,2015,1008,Ch,Pt,0.045518999999999976,0.01,X,16.0,4,,pur,Pt,False,,False,4
2015_Jus_1009,Jus,St-Just,Ardèche,2015,1009,Ch,Hy,0.473327,0.471494,X,14.0,4,,intermediaire,Hy,False,8.0,True,4
2015_Jus_1010,Jus,St-Just,Ardèche,2015,1010,Ch,Cn,0.9999,0.10209400000000002,M,43.0,4,0.0,pur,Cn,False,5.0,True,4
2015_Jus_1011,Jus,St-Just,Ardèche,2015,1011,Ch,Cn,0.9626220000000001,0.08472500000000005,M,43.5,4,3.0,pur,Hy,True,6.0,True,4
2015_Jus_1012,Jus,St-Just,Ardèche,2015,1012,Ch,Cn,0.9999,0.10607500000000003,M,42.5,4,0.0,pur,Cn,False,5.0,True,3
2015_Jus_1013,Jus,St-Just,Ardèche,2015,1013,Ch,Cn,0.9569205000000001,0.07975999999999994,M,44.0,4,1.0,pur,Cn,False,6.0,True,4
2015_Jus_1014,Jus,St-Just,Ardèche,2015,1014,Ch,Cn,0.9524079999999999,0.07077100000000003,X,16.0,4,1.0,pur,Cn,False,6.0,True,4
