cle_bibtex,doi,annee,titre,revue,citations,origine,themes,resume,preprint
m2025host,10.64898/2025.12.10.693535,2025.0,Host ancestry outweighs ecology in shaping the gut microbiome of hybridizing brown lemurs,bioRxiv,,hybrides (2026),"hybridation, rarefaction, tissus",True,True
m2023greengenes,10.1038/s41587-023-01845-1,2023.0,Greengenes2 unifies microbial data in a single reference tree,Nature Biotechnology,598.0,etat art 16S,methodes-16S,True,False
m2014waste,10.1371/journal.pcbi.1003531,2014.0,"Waste Not, Want Not: Why Rarefying Microbiome Data Is Inadmissible",PLoS Computational Biology,,"etat art 16S, raréfaction",rarefaction,True,False
m2022acute,10.1016/j.ecoenv.2022.114125,2022.0,Acute exposure to microplastics induces metabolic disturbances and gut dysbiosis in adult zebrafish (Danio rerio),Ecotoxicology and Environmental Safety,,microbiote poissons,tissus,True,False
sinama2013cinetique,10.70675/5d9035a7z050bz4b29zaf57z49f5bdc6782c,2013.0,"Cinétique spatiale et temporelle de zones hybrides : unicité et diversité au sein du modèle Chondrostomes (Teleostei, Cyprinidés), : application pour la conservation d'espèces d'intérêt patrimonial.",,0.0,systeme etude,"hybridation, systeme-etude, methodes-16S, poisson",True,False
m2018intestinala,10.1016/j.ecoenv.2018.05.050,2018.0,Intestinal microbiota and lipid metabolism responses in the common carp (Cyprinus carpio L.) following copper exposure,Ecotoxicology and Environmental Safety,,microbiote poissons,"poisson, tissus",True,False
m2021conceptual,10.1111/oik.07202,2021.0,A conceptual guide to measuring species diversity,Oikos,,raréfaction,rarefaction,True,False
m2020effects,10.22541/au.158801945.58822703,2020.0,The effects of host genetic architecture on the gut microbiome composition of Chinook salmon (Oncorhynchus tshawytscha),,,hybrides (2026),"hybridation, heritabilite, poisson, tissus",True,False
m2025plastic,10.20944/preprints202510.0479.v1,2025.0,Plastic Pollution and Microplastics as Emerging Threats to Aquaculture: A Narrative Review,Preprints.org,,microbiote poissons,"poisson, tissus",True,False
n2015perturbation,10.1186/s40168-015-0069-6,2015.0,Perturbation and restoration of the fathead minnow gut microbiome after low-level triclosan exposure,Microbiome,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
n2010role,10.1111/j.1365-2109.2010.02546.x,2010.0,Role of gastrointestinal microbiota in fish,Aquaculture Research,,microbiote poissons,"poisson, tissus",True,False
n2022microbiome,10.1038/s41467-022-28034-z,2022.0,Microbiome differential abundance methods produce different results across 38 datasets,Nature Communications,,"etat art 16S, raréfaction",methodes-16S,True,False
n2026toxicity,10.1016/j.watbs.2025.100534,2026.0,Toxicity of nano- and microplastics on marine and freshwater fish: A multi-scale perspective from organ systems to cells,Water Biology and Security,,microbiote poissons,"poisson, tissus",True,False
n2013factors,10.1111/1574-6941.12256,2013.0,Factors influencing the grass carp gut microbiome and its effect on metabolism,FEMS Microbiology Ecology,,microbiote poissons,"poisson, tissus",True,False
n2025rice,10.1016/j.aquaculture.2025.742659,2025.0,Rice-fish co-culture improves carp (Cyprinus carpio) quality by modulating the gut microbiota and metabolites,Aquaculture,,microbiote poissons,"poisson, tissus",True,False
o2016vegan,,2016.0,vegan: community ecology package. R package version 2.4-1,,,manuscrit origine,methodes-16S,False,False
o2022effects,10.1016/j.aquaculture.2022.738901,2022.0,"Effects of hyperosmotic stress on the intestinal microbiota, transcriptome, and immune function of mandarin fish (Siniperca chuatsi)",Aquaculture,,microbiote poissons,"poisson, tissus",True,False
p2016application,10.1111/mec.13536,2016.0,Application of multivariate statistical techniques in microbial ecology,Molecular Ecology,400.0,manuscrit origine,methodes-16S,True,False
p2022geographical,10.1111/mec.16812,2022.0,"Geographical distance, host evolutionary history and diet drive gut microbiome diversity of fish across the Yellow River",Molecular Ecology,,microbiote poissons,"poisson, tissus",True,False
p2014stamp,10.1093/bioinformatics/btu494,2014.0,STAMP: statistical analysis of taxonomic and functional profiles,Bioinformatics,3761.0,manuscrit origine,methodes-16S,True,False
p2023waste,10.1128/msphere.00355-23,2023.0,"Waste not, want not: revisiting the analysis that called into question the practice of rarefaction",mSphere,,raréfaction,rarefaction,True,False
p2024rarefaction,10.1128/msphere.00354-23,2024.0,Rarefaction is currently the best approach to control for uneven sequencing effort in amplicon sequence analyses,mSphere,,raréfaction,"rarefaction, methodes-16S",True,False
p2016hybridization,10.1098/rspb.2016.1329,2016.0,Hybridization as a facilitator of species range expansion,Proceedings of the Royal Society B: Biological Sciences,183.0,manuscrit origine,hybridation,True,False
p2018gills,10.1128/aem.00063-18,2018.0,The Gills of Reef Fish Support a Distinct Microbiome Influenced by Host-Specific Factors,Applied and Environmental Microbiology,,"manuscrit origine, microbiote poissons","methodes-16S, poisson, tissus",True,False
p2022perspectives,10.1007/978-981-19-0817-0_3,2022.0,Perspectives and Implications of Probiotics as Beneficial Mediators in Aquaculture Industry,,,microbiote poissons,hors-perimetre,True,False
q2024synergy,10.1016/j.jgg.2024.06.011,2024.0,Synergy of gut microbiota and host genome in driving heterosis expression of chickens.,Journal of genetics and genomics = Yi chuan xue bao,,hybrides (2026),"hybridation, methodes-16S, tissus",True,False
q2022microbiota,10.1111/jam.15616,2022.0,Gut microbiota communities of reciprocal hybrids from koi (Cyprinus carpio) and goldfish (Carassius auratus) are more similar to koi than goldfish,Journal of Applied Microbiology,,hybrides (2026),"hybridation, poisson, tissus",True,False
q2013silva,10.1093/nar/gks1219,2013.0,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools,Nucleic Acids Research,29042.0,"etat art 16S, manuscrit origine",methodes-16S,True,False
r2018impact,10.1038/s41598-018-24280-8,2018.0,Impact of sequencing depth on the characterization of the microbiome and resistome,Scientific Reports,,raréfaction,methodes-16S,True,False
r2018cetobacterium,10.3390/ani8110189,2018.0,Cetobacterium Is a Major Component of the Microbiome of Giant Amazonian Fish (Arapaima gigas) in Ecuador,Animals,,microbiote poissons,"poisson, tissus",True,False
r2026flow,10.1016/j.jhazmat.2025.141020,2026.0,Flow-dependent modulation of microplastic toxicity in grass carp: Insights from multi-level biological endpoints and machine learning,Journal of Hazardous Materials,,microbiote poissons,"poisson, tissus",True,False
r1998effect,10.1046/j.1365-2672.1998.00595.x,1998.0,"The effect of dietary fatty acids on lactic acid bacteria associated with the epithelial mucosa and from faecalia of Arctic charr,Salvelinus alpinus(L.)",Journal of Applied Microbiology,,microbiote poissons,"poisson, tissus",True,False
r2013hologenomic,10.1126/science.1240659,2013.0,The Hologenomic Basis of Speciation: Gut Bacteria Cause Hybrid Lethality in the Genus Nasonia,Science,,hybrides (2026),"hybridation, tissus",True,False
r2017stable,10.1128/aem.01974-17,2017.0,Stable Core Gut Microbiota across the Freshwater-to-Saltwater Transition for Farmed Atlantic Salmon,Applied and Environmental Microbiology,,microbiote poissons,"poisson, tissus",True,False
s2022features,10.7554/elife.75419,2022.0,Key features of the genetic architecture and evolution of host-microbe interactions revealed by high-resolution genetic mapping of the mucosa-associated gut microbiome in hybrid mice,eLife,,hybrides (2026),"hybridation, heritabilite, tissus",True,False
s2016environmental,,2016.0,Environmental and genetic determinants of bacterial microbiota and parasites associated with Cottus across natural hybrid zones,MACAU: Open Access Repository of Kiel University (University Library Kiel),,hybrides (2026),"hybridation, heritabilite, poisson, tissus",True,False
s2023subspecies,10.1101/2023.12.11.571054,2023.0,"Subspecies divergence, hybridisation and the spatial environment shape phylosymbiosis in the microbiome of house mice",bioRxiv,,hybrides (2026),"hybridation, heritabilite, tissus",True,True
s2024evolutionary,10.1098/rspb.2024.1970,2024.0,Eco-evolutionary dynamics of host–microbiome interactions in a natural population of closely related mouse subspecies and their hybrids,Proceedings B,,hybrides (2026),"hybridation, heritabilite, tissus",True,False
s2021revisiting,10.1002/ece3.8239,2021.0,Revisiting the effect of PCR replication and sequencing depth on biodiversity metrics in environmental DNA metabarcoding,Ecology and Evolution,,raréfaction,rarefaction,True,False
s2023host,10.1186/s40168-023-01697-6,2023.0,Host species and habitat shape fish-associated bacterial communities: phylosymbiosis between fish and their microbiome,Microbiome,,microbiote poissons,"poisson, tissus",True,False
s2021microbiome,10.1073/pnas.2108787118,2021.0,Microbiome stability and structure is governed by host phylogeny over diet and geography in woodrats ( Neotoma spp.),Proceedings of the National Academy of Sciences,,hybrides (2026),"heritabilite, tissus",True,False
s2018natural,10.1126/science.aar3684,2018.0,Natural selection interacts with recombination to shape the evolution of hybrid genomes,Science,370.0,manuscrit origine,"hybridation, poisson",True,False
s2008speciation,10.1111/j.1365-294x.2007.03529.x,2008.0,Speciation reversal and biodiversity dynamics with hybridization in changing environments,Molecular Ecology,466.0,manuscrit origine,hybridation,True,False
s2017diverse,10.1556/004.2017.003,2017.0,"Diverse <i>Chlamydia</i> -like agents associated with epitheliocystis infection in two cyprinid fish species, the common carp (<i>Cyprinus carpio</i> L.) and the gibel carp (<i>Carassius auratus gibelio</i> L.)",Acta Veterinaria Hungarica,15.0,manuscrit origine,"poisson, tissus",True,False
s2014microbiome,10.1111/jeb.12374,2014.0,Microbiome investigation in the ecological speciation context of lake whitefish ( <i>Coregonus clupeaformis</i> ) using next-generation sequencing,Journal of Evolutionary Biology,43.0,manuscrit origine,"hybridation, poisson",True,False
s2018holobionts,10.1186/s40168-018-0427-2,2018.0,Holobionts and ecological speciation: the intestinal microbiota of lake whitefish species pairs,Microbiome,0.0,manuscrit origine,"hybridation, methodes-16S, poisson, tissus",True,False
s2016microbiotas,10.1016/j.tree.2016.03.006,2016.0,Gut microbiotas and host evolution: scaling up symbiosis,Trends in Ecology \& Evolution,372.0,manuscrit origine,tissus,True,False
s2020introduction,10.1098/rspb.2019.2900,2020.0,An introduction to phylosymbiosis,Proceedings of the Royal Society B Biological Sciences,,hybrides (2026),"hybridation, heritabilite",True,False
s2026eastern,10.1038/s44360-026-00079-0,2026.0,Eastern coastal Chinese diet associated with reduced obesity and improved cardiometabolic health,Nature Health,,microbiote poissons,"poisson, tissus",True,False
s2016speciation,10.1128/mbio.01785-15,2016.0,Speciation by Symbiosis: the Microbiome and Behavior,mBio,140.0,manuscrit origine,hybridation,True,False
s2013homogeneous,10.1186/1742-9994-10-22,2013.0,Non-homogeneous combination of two porous genomes induces complex body shape trajectories in cyprinid hybrids,Frontiers in Zoology,12.0,manuscrit origine,"hybridation, systeme-etude, poisson",True,False
s2024review,10.1093/femsec/fiae169,2024.0,A review on comparative analysis of marine and freshwater fish gut microbiomes: insights into environmental impact on gut microbiota,FEMS Microbiology Ecology,,microbiote poissons,"poisson, tissus",True,False
s2015dietary,10.1038/ismej.2015.64,2015.0,Dietary input of microbes and host genetic variation shape among-population differences in stickleback gut microbiota,The ISME Journal,,"manuscrit origine, microbiote poissons","heritabilite, poisson, tissus",True,False
s2022effects,10.1016/j.aquaculture.2022.738529,2022.0,Effects of water temperature on the gut microbiome and physiology of Chinook salmon (Oncorhynchus tshawytscha) reared in a freshwater recirculating system,Aquaculture,,microbiote poissons,"poisson, tissus",True,False
s2020double,10.1016/s0140-6736(20)31360-x,2020.0,The double burden of malnutrition—further perspective,The Lancet,,microbiote poissons,hors-perimetre,True,False
s2015divergence,10.1038/ismej.2014.231,2015.0,"Divergence across diet, time and populations rules out parallel evolution in the gut microbiomes of Trinidadian guppies",The ISME Journal,,microbiote poissons,"heritabilite, methodes-16S, poisson, tissus",True,False
s2023effects,10.1016/j.aquaculture.2023.739888,2023.0,"Effects of salinity stress on the growth performance, health status, and intestinal microbiota of juvenile Micropterus salmoides",Aquaculture,,microbiote poissons,tissus,True,False
s2026metagenomic,10.1007/s00203-025-04646-z,2026.0,Metagenomic profiling of fish-associated microbiota: ecological perspectives from freshwater to marine environment—a review,Archives of Microbiology,,microbiote poissons,poisson,True,False
t2019bacillus,10.1016/j.aquaculture.2018.11.051,2019.0,Bacillus velezensis AP193 exerts probiotic effects in channel catfish (Ictalurus punctatus) and reduces aquaculture pond eutrophication,Aquaculture,,microbiote poissons,hors-perimetre,True,False
t2012functional,10.1038/nature11552,2012.0,Functional interactions between the gut microbiota and host metabolism,Nature,4134.0,manuscrit origine,tissus,True,False
u2020importance,10.36062/ijah.59.2spl.2020.181-194,2020.0,Importance of gut microbiota in fish – A review,Indian Journal of Animal Health,,microbiote poissons,"poisson, tissus",True,False
v2024aberrant,10.1093/ismeco/ycae053,2024.0,Aberrant microbiomes are associated with increased antibiotic resistance gene load in hybrid mice,ISME Communications,,hybrides (2026),"hybridation, heritabilite, methodes-16S, tissus",True,False
w2006cross,10.1016/j.aquaculture.2006.04.002,2006.0,"Cross effects of the strain of dietary Saccharomyces cerevisiae and rearing conditions on the onset of intestinal microbiota and digestive enzymes in rainbow trout, Onchorhynchus mykiss, fry",Aquaculture,,microbiote poissons,"poisson, tissus",True,False
w2015analysis,10.1038/ncomms7440,2015.0,Analysis of intestinal microbiota in hybrid house mice reveals evolutionary divergence in a vertebrate hologenome,Nature Communications,131.0,manuscrit origine,"hybridation, tissus",True,False
w2021potential,10.1016/j.tifs.2021.04.017,2021.0,Potential benefits of high-added-value compounds from aquaculture and fish side streams on human gut microbiota,Trends in Food Science \& Technology,,microbiote poissons,"poisson, tissus",True,False
w2022strategies,10.1111/raq.12731,2022.0,Strategies to enhance tilapia immunity to improve their health in aquaculture,Reviews in Aquaculture,,microbiote poissons,"poisson, tissus",True,False
w2017normalization,10.1186/s40168-017-0237-y,2017.0,Normalization and microbial differential abundance strategies depend upon data characteristics,Microbiome,,"etat art 16S, manuscrit origine, raréfaction","rarefaction, methodes-16S",True,False
w2018microbiome,10.1371/journal.pone.0202212,2018.0,Microbiome composition within a sympatric species complex of intertidal isopods (Jaera albifrons),PLOS ONE,22.0,manuscrit origine,hybridation,True,False
w2024realistic,10.1186/s13059-024-03390-9,2024.0,A realistic benchmark for differential abundance testing and confounder adjustment in human microbiome studies,Genome biology,36.0,etat art 16S,methodes-16S,True,False
w2018genetic,10.3389/fmicb.2018.02972,2018.0,Genetic Effects on the Gut Microbiota Assemblages of Hybrid Fish From Parents With Different Feeding Habits,Frontiers in Microbiology,,hybrides (2026),"hybridation, heritabilite, poisson, tissus",True,False
x2026reciprocal,10.3390/ani16060895,2026.0,Reciprocal Hybridization Between Herbivorous and Carnivorous Sub-Cold-Water Fish Reveals Divergent Intestinal Characteristics and Microbiome Assembly,Animals,,hybrides (2026),"hybridation, heritabilite, poisson, tissus",True,False
x2024effects,10.1016/j.aquaculture.2024.741064,2024.0,"Effects of Corbicula fluminea meal in high-fat diet on growth, lipid metabolism and intestinal microbiota of juvenile rice field eel Monopterus albus",Aquaculture,,microbiote poissons,tissus,True,False
x2023host,10.1128/msystems.01181-22,2023.0,Host Hybridization Dominates over Cohabitation in Affecting Gut Microbiota of Intrageneric Hybrid Takifugu Pufferfish,mSystems,,hybrides (2026),"hybridation, heritabilite, methodes-16S, poisson, tissus",True,False
x2022research,10.3390/microorganisms10050891,2022.0,Research Progress of the Gut Microbiome in Hybrid Fish,Microorganisms,,hybrides (2026),"hybridation, poisson, tissus",True,False
y2016environmental,10.1111/1462-2920.13365,2016.0,Environmental filtering decreases with fish development for the assembly of gut microbiota,Environmental Microbiology,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
y2026saturated,10.1016/j.anifeedsci.2026.116639,2026.0,"Can saturated fatty acids spare essential fatty acids in freshwater fish? Evidence from growth, metabolism and gut microbiota in common carp (Cyprinus carpio)",Animal Feed Science and Technology,,microbiote poissons,"poisson, tissus",True,False
y2013fish,10.1038/ismej.2013.181,2013.0,Fish gut microbiota analysis differentiates physiology and behavior of invasive Asian carp and indigenous American fish,The ISME Journal,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
y2018peer,10.7287/peerj.5906v0.1/reviews/1,2018.0,"Peer Review \#1 of ""Microbiome differences between river-dwelling and cave-adapted populations of the fish Astyanax mexicanus (De Filippi, 1853) (v0.1)""",,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
z2021residual,10.1016/j.jhazmat.2021.127152,2021.0,Residual chlorine disrupts the microbial communities and spreads antibiotic resistance in freshwater,Journal of Hazardous Materials,,microbiote poissons,hors-perimetre,True,False
z2022characterization,10.1007/s00203-022-03301-1,2022.0,Characterization of the core gut microbiota of Nile tilapia (Oreochromis niloticus): indication of a putative novel Cetobacterium species and analysis of its potential function on nutrition,Archives of Microbiology,,microbiote poissons,tissus,True,False
z2022copper,10.1016/j.ecoenv.2022.114136,2022.0,"Copper-induced oxidative stress, transcriptome changes, intestinal microbiota, and histopathology of common carp (Cyprinus carpio)",Ecotoxicology and Environmental Safety,,microbiote poissons,"poisson, tissus",True,False
z2026review,10.1016/j.marpolbul.2026.119582,2026.0,"A review on antibiotic use in tilapia farming: Pharmacokinetics, impacts, and potential health risks",Marine Pollution Bulletin,,microbiote poissons,hors-perimetre,True,False
z2016changes,10.1111/1758-2229.12482,2016.0,Changes in the rumen microbiome and metabolites reveal the effect of host genetics on hybrid crosses,Environmental Microbiology Reports,,hybrides (2026),"hybridation, heritabilite",True,False
z2020microbiomes,10.1111/eva.13152,2020.0,Gut microbiomes of bigheaded carps and hybrids provide insights into invasion: A hologenome perspective,Evolutionary Applications,,microbiote poissons,"hybridation, methodes-16S, poisson, tissus",True,False
anon2019peer,10.7287/peerj.6891v0.2/reviews/2,2019.0,"Peer Review \#2 of ""Dietary supplementation of black soldier fly (Hermetica illucens) meal modulates gut microbiota, innate immune response and health status of marron (Cherax cainii, Austin 2002) fed poultry-by-product and fishmeal based diets (v0.2)""",,,microbiote poissons,"poisson, tissus",True,False
anon2020peer,10.7287/peerj.10237v0.1/reviews/3,2020.0,"Peer Review \#3 of ""Use of next generation sequencing to compare simple habitat and species level differences in the gut microbiota of an invasive and native freshwater fish species (v0.1)""",,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
