title,authors,year,journal,cited_by,fwci,is_review,selection_reason,doi,doi_url,openalex_url,category,abstract
"Peer Review #2 of ""Dietary supplementation of black soldier fly (Hermetica illucens) meal modulates gut microbiota, innate immune response and health status of marron (Cherax cainii, Austin 2002) fed poultry-by-product and fishmeal based diets (v0.2)""",,2019,,0,,True,REVIEW,10.7287/peerj.6891v0.2/reviews/2,https://doi.org/10.7287/peerj.6891v0.2/reviews/2,https://openalex.org/W4251300918,host-microbiome,"The present study aimed to evaluate the dietary supplementary effects of black soldier fly (Hermetia illucens) (BSF) meal on the bacterial communities in the distal gut, immune response and growth of fresh water crayfish, marron (Cherax cainii) fed poultry-by-product meal (PBM) as an alternative protein source to fish meal (FM).Sixty four marron were randomly distributed into 16 different tanks with a density of four marron per tank.After acclimation, a 60-days feeding trial was conducted on marron fed isonitrogenouts and isocalorific diets containing protein source from FM, PBM, and a combina"
Plastic Pollution and Microplastics as Emerging Threats to Aquaculture: A Narrative Review,Munjita,2025,Preprints.org,0,,True,REVIEW; recent,10.20944/preprints202510.0479.v1,https://doi.org/10.20944/preprints202510.0479.v1,https://openalex.org/W4415044914,ambiguous,"Aquaculture is increasingly critical for meeting global protein needs, with fish consumption having doubled since the 1960s. However, alongside its rapid expansion, the industry faces the emerging challenge of microplastic (MP) contamination. Microplastics, derived from degraded plastic debris, aquaculture infrastructure, and contaminated feeds, are now widely detected in pond water, sediments, and farmed fish tissues. This narrative review critically examined evidence on the impacts of MPs in aquaculture, with a focus on fish health and disease susceptibility. Findings suggest that MPs disrup"
"Peer Review #3 of ""Use of next generation sequencing to compare simple habitat and species level differences in the gut microbiota of an invasive and native freshwater fish species (v0.1)""",,2020,,0,,True,REVIEW,10.7287/peerj.10237v0.1/reviews/3,https://doi.org/10.7287/peerj.10237v0.1/reviews/3,https://openalex.org/W4255546778,host-microbiome,"Research on the gut microbiome of host organisms has rapidly advanced with next generation sequencing (NGS) and high-performance computing capabilities.Nonetheless, gut microbiome research has focused on mammalian organisms in laboratory settings, and investigations pertaining to wild fish gut microbiota remain in their infancy.We applied a procedure (available at https://github.com/bngallo1994)for sampling of the fish gut for use in NGS to describe microbial community structure.Our approach allowed for high bacterial OTU diversity coverage (>99.7%,Good's Coverage) that led to detection of dif"
Effectiveness of Decaying Fruits as Carbon Source on Fish Productivity and Water Quality Improvement in Aquaculture: A Narrative Review,al.,2025,Egyptian Journal of Aquatic Biology and Fisheries,0,,True,REVIEW; recent,10.21608/ejabf.2025.446023,https://doi.org/10.21608/ejabf.2025.446023,https://openalex.org/W4413173589,ambiguous,"Aquaculture waste, particularly nitrogen-related waste, contributes to water quality deterioration and reduced fish productivity. Conversely, decaying fruit, when used as a carbon source, can stimulate the growth of heterotrophic microbes that help control nitrogenous waste through denitrification. This review aimed to explore the role of decaying fruit as an organic material and plant-based carbon source for managing aquaculture water quality before fish stocking in ponds and for promoting fish growth. It highlights the potential of decaying fruit as a carbon source in water, facilitating the"
Disruption and resilience: a systematic review on how heat stress affects gut microbiota and immunity in wild freshwater fish,Dobre … Nicolae,2026,Hydrobiologia,0,,True,REVIEW; recent,10.1007/s10750-026-06120-3,https://doi.org/10.1007/s10750-026-06120-3,https://openalex.org/W7125914648,host-microbiome,"Climate change is increasingly disrupting freshwater ecosystems, with elevated temperatures altering the gut microbiota and immune homeostasis of wild fish. This review provides an integrative synthesis of current knowledge on how thermal stress impacts intestinal microbial communities and immune responses in freshwater fish species. A systematic literature search across Web of Science, PubMed, Scopus, and Google Scholar identified studies exploring the links between heat-induced dysbiosis, oxidative and osmotic stress, and immune modulation. Findings indicate that thermal stress reduces micro"
"Microbiota under bloom stress: A review and meta-analysis of bloom-associated cyanopeptides, environmental stressors, and microbial shifts in free-living and host gut microbiomes",Chia … Pompeo,2026,The Science of The Total Environment,0,,True,REVIEW; recent,10.1016/j.scitotenv.2026.182024,https://doi.org/10.1016/j.scitotenv.2026.182024,https://openalex.org/W7167482027,host-microbiome,"Cyanobacterial blooms are intensifying globally due to nutrient enrichment and climate change, producing a chemically diverse suite of peptides, in addition to the well-studied microcystins. These cyanopeptides, including anabaenopeptins, cyanopeptolins, aeruginosins, and microginins, frequently co-occur in blooms across freshwater and estuarine systems and exhibit potent protease- and phosphatase-inhibitory activities at environmentally relevant concentrations. This review synthesizes emerging evidence that these compounds may profoundly influence both environmental and host-associated microb"
"Peer Review #1 of ""Microbiome differences between river-dwelling and cave-adapted populations of the fish Astyanax mexicanus (De Filippi, 1853) (v0.1)""",Yoshizawa,2018,,0,,True,REVIEW,10.7287/peerj.5906v0.1/reviews/1,https://doi.org/10.7287/peerj.5906v0.1/reviews/1,https://openalex.org/W2901486450,host-microbiome,"Symbiotic relationships between host and microbiome can play a major role in local adaptation.Previous studies with freshwater organisms have shown that microbiome performs numerous important biochemical functions for the host, playing a key role in metabolism, physiology or health.Experimental studies in fish groups have found an effect of enzymatic activity of gut microbiota on a variety of metabolic processes.The goal of this study was to compare stomach microbiome from cave and surface Astyanax mexicanus, in order to evaluate the potential response of microbiota to contrasting environmenta"
Role of gastrointestinal microbiota in fish,Nayak,2010,Aquaculture Research,1081,7.55,False,landmark,10.1111/j.1365-2109.2010.02546.x,https://doi.org/10.1111/j.1365-2109.2010.02546.x,https://openalex.org/W1912394394,host-microbiome,"The gastrointestinal (GI) tract of an animal consists of a very complex and dynamic microbial ecosystem that is very important from a nutritional, physiological and pathological point of view. A wide range of microbes derived from the surrounding aquatic environment, soil/sediment and feed are found to colonize in the GI tract of fish. Among the microbial groups, bacteria (aerobic, facultative anaerobic and obligate aneraobic forms) are the principal colonizers in the GI tract of fish, and in some fish, yeasts are also reported. The common bacterial colonizers in the GI tract of freshwater and"
The gut microbiome and degradation enzyme activity of wild freshwater fishes influenced by their trophic levels,Liu … Wang,2016,Scientific Reports,527,18.76,False,landmark,10.1038/srep24340,https://doi.org/10.1038/srep24340,https://openalex.org/W2337502624,host-microbiome,"Vertebrate gut microbiome often underpins the metabolic capability and provides many beneficial effects on their hosts. However, little was known about how host trophic level influences fish gut microbiota and metabolic activity. In this study, more than 985,000 quality-filtered sequences from 24 16S rRNA libraries were obtained and the results revealed distinct compositions and diversities of gut microbiota in four trophic categories. PCoA test showed that gut bacterial communities of carnivorous and herbivorous fishes formed distinctly different clusters in PCoA space. Although fish in diffe"
Environmental and physiological factors shape the gut microbiota of Atlantic salmon parr (Salmo salar L.),Dehler … Martín,2016,Aquaculture,469,13.25,False,landmark,10.1016/j.aquaculture.2016.07.017,https://doi.org/10.1016/j.aquaculture.2016.07.017,https://openalex.org/W2480501601,host-microbiome,"Gut microbes are key players in host immune system priming, protection and development, as well as providing nutrients to the host that would be otherwise unavailable. Due to this importance, studies investigating the link between host and microbe are being initiated in farmed fish. The establishment, maintenance and subsequent changes of the intestinal microbiota are central to define fish physiology and nutrition in the future. In fish, unlike mammals, acquiring intestinal microbes is believed to occur around the time of first feeding mainly from the water surrounding them and their microbia"
The biogeography of the atlantic salmon (<i>Salmo salar</i>) gut microbiome,Llewellyn … Derôme,2015,The ISME Journal,408,12.32,False,landmark,10.1038/ismej.2015.189,https://doi.org/10.1038/ismej.2015.189,https://openalex.org/W2199498800,host-microbiome,"Although understood in many vertebrate systems, the natural diversity of host-associated microbiota has been little studied in teleosts. For migratory fishes, successful exploitation of multiple habitats may affect and be affected by the composition of the intestinal microbiome. We collected 96 Salmo salar from across the Atlantic encompassing both freshwater and marine phases. Dramatic differences between environmental and gut bacterial communities were observed. Furthermore, community composition was not significantly impacted by geography. Instead life-cycle stage strongly defined both the "
Dietary input of microbes and host genetic variation shape among-population differences in stickleback gut microbiota,Smith … Bolnick,2015,The ISME Journal,400,8.68,False,landmark,10.1038/ismej.2015.64,https://doi.org/10.1038/ismej.2015.64,https://openalex.org/W2012139809,host-microbiome,"To explain differences in gut microbial communities we must determine how processes regulating microbial community assembly (colonization, persistence) differ among hosts and affect microbiota composition. We surveyed the gut microbiota of threespine stickleback (Gasterosteus aculeatus) from 10 geographically clustered populations and sequenced environmental samples to track potential colonizing microbes and quantify the effects of host environment and genotype. Gut microbiota composition and diversity varied among populations. These among-population differences were associated with multiple c"
Environmental filtering decreases with fish development for the assembly of gut microbiota,Yan … Zhou,2016,Environmental Microbiology,395,14.43,False,landmark,10.1111/1462-2920.13365,https://doi.org/10.1111/1462-2920.13365,https://openalex.org/W2344797473,host-microbiome,"Gut microbiota typically occupy habitats with definable limits/borders that are comparable to oceanic islands. The gut therefore can be regarded as an 'island' for the assembly of microbial communities within the 'sea' of surrounding environments. This study aims to reveal the ecological mechanisms that govern microbiota in the fish gut 'island' ecosystem. Taxonomic compositions, phylogenetic diversity, and community turnover across host development were analyzed via the high-throughput sequencing of 16S rRNA gene amplicons. The results indicate that the Shannon diversity of gut microbiota in "
Phylogenetic Analysis of Intestinal Microflora Indicates a Novel Mycoplasma Phylotype in Farmed and Wild Salmon,Holben … Apajalahti,2002,Microbial Ecology,384,1.71,False,landmark,10.1007/s00248-002-1011-6,https://doi.org/10.1007/s00248-002-1011-6,https://openalex.org/W2047453304,ambiguous,
Individuals' diet diversity influences gut microbial diversity in two freshwater fish (threespine stickleback and Eurasian perch),Bolnick … Svanbäck,2014,Ecology Letters,329,7.67,False,landmark,10.1111/ele.12301,https://doi.org/10.1111/ele.12301,https://openalex.org/W2167603799,host-microbiome,"Vertebrates' diets profoundly influence the composition of symbiotic gut microbial communities. Studies documenting diet-microbiota associations typically focus on univariate or categorical diet variables. However, in nature individuals often consume diverse combinations of foods. If diet components act independently, each providing distinct microbial colonists or nutrients, we expect a positive relationship between diet diversity and microbial diversity. We tested this prediction within each of two fish species (stickleback and perch), in which individuals vary in their propensity to eat litt"
Fish gut microbiota analysis differentiates physiology and behavior of invasive Asian carp and indigenous American fish,Ye … Liu,2013,The ISME Journal,312,5.39,False,landmark,10.1038/ismej.2013.181,https://doi.org/10.1038/ismej.2013.181,https://openalex.org/W2047663757,host-microbiome,"Gut microbiota of invasive Asian silver carp (SVCP) and indigenous planktivorous gizzard shad (GZSD) in Mississippi river basin were compared using 16S rRNA gene pyrosequencing. Analysis of more than 440 000 quality-filtered sequences obtained from the foregut and hindgut of GZSD and SVCP revealed high microbial diversity in these samples. GZSD hindgut (GZSD_H) samples (n=23) with >7000 operational taxonomy units (OTUs) exhibited the highest alpha-diversity indices followed by SVCP foregut (n=15), GZSD foregut (n=9) and SVCP hindgut (SVCP_H) (n=24). UniFrac distance-based non-metric multidimen"
Comparative Analysis of the Intestinal Bacterial Communities in Different Species of Carp by Pyrosequencing,Li … Gong,2014,Microbial Ecology,298,5.1,False,landmark,10.1007/s00248-014-0480-8,https://doi.org/10.1007/s00248-014-0480-8,https://openalex.org/W2038762405,ambiguous,
Updating the Importance of Lactic Acid Bacteria in Fish Farming: Natural Occurrence and Probiotic Treatments,Gatesoupe,2007,Microbial Physiology,296,3.42,False,landmark,10.1159/000106089,https://doi.org/10.1159/000106089,https://openalex.org/W2122712356,host-microbiome,"Many recent papers have deepened the state of knowledge about lactic acid bacteria (LAB) in fish gut. In spite of high variability in fish microbiota, LAB are sometimes abundant in the intestine, notably in freshwater fish. Several strains of Streptococcus are pathogenic to fish. Streptococcus iniae and Lactococcus garvieae are major fish pathogens, against which commercial vaccines are available. Fortunately, most LAB are harmless, and some strains have been reported for beneficial effects on fish health. A major step forward in recent years was the converging evidence that LAB can stimulate "
Factors influencing the grass carp gut microbiome and its effect on metabolism,Ni … Zhang,2013,FEMS Microbiology Ecology,264,2.2,False,landmark,10.1111/1574-6941.12256,https://doi.org/10.1111/1574-6941.12256,https://openalex.org/W2068779438,host-microbiome,"Gut microbiota have attracted extensive attention recently because of their important role in host metabolism, immunity and health maintenance. The present study focused on factors affecting the gut microbiome of grass carp (Ctenopharyngodon idella) and further explored the potential effect of the gut microbiome on metabolism. Totally, 43.39 Gb of screened metagenomic sequences obtained from 24 gut samples were fully analysed. We detected 1228 phylotypes (116 Archaea and 1112 Bacteria), most of which belonged to the phyla Firmicutes, Proteobacteria and Fusobacteria. Totally, 41335 of the detec"
"Analysis of Stomach and Gut Microbiomes of the Eastern Oyster (Crassostrea virginica) from Coastal Louisiana, USA",King … Smith,2012,PLoS ONE,263,5.97,False,landmark,10.1371/journal.pone.0051475,https://doi.org/10.1371/journal.pone.0051475,https://openalex.org/W2030389003,host-microbiome,"We used high throughput pyrosequencing to characterize stomach and gut content microbiomes of Crassostrea virginica, the Easter oyster, obtained from two sites, one in Barataria Bay (Hackberry Bay) and the other in Terrebonne Bay (Lake Caillou), Louisiana, USA. Stomach microbiomes in oysters from Hackberry Bay were overwhelmingly dominated by Mollicutes most closely related to Mycoplasma; a more rich community dominated by Planctomyctes occurred in Lake Caillou oyster stomachs. Gut communities for oysters from both sites differed from stomach communities, and harbored a relatively diverse asse"
Major <scp>H</scp>istocompatibility <scp>C</scp>omplex class <scp>II</scp>b polymorphism influences gut microbiota composition and diversity,Bolnick … Stutz,2014,Molecular Ecology,197,5.98,False,highly-cited,10.1111/mec.12846,https://doi.org/10.1111/mec.12846,https://openalex.org/W2145416218,host-microbiome,"Animals harbour diverse communities of symbiotic bacteria, which differ dramatically among host individuals. This heterogeneity poses an immunological challenge: distinguishing between mutualistic and pathogenic members of diverse and host-specific microbial communities. We propose that Major Histocompatibility class II (MHC) genotypes contribute to recognition and regulation of gut microbes, and thus, MHC polymorphism contributes to microbial variation among hosts. Here, we show that MHC IIb polymorphism is associated with among-individual variation in gut microbiota within a single wild vert"
Intestinal microbiota and lipid metabolism responses in the common carp (Cyprinus carpio L.) following copper exposure,Meng … Nie,2018,Ecotoxicology and Environmental Safety,189,6.51,False,highly-cited,10.1016/j.ecoenv.2018.05.050,https://doi.org/10.1016/j.ecoenv.2018.05.050,https://openalex.org/W2806338663,host-microbiome,
Bacterial Signatures of “Red-Operculum” Disease in the Gut of Crucian Carp (Carassius auratus),Li,2017,Microbial Ecology,182,4.49,False,highly-cited,10.1007/s00248-017-0967-1,https://doi.org/10.1007/s00248-017-0967-1,https://openalex.org/W2603629711,ambiguous,
"Cross effects of the strain of dietary Saccharomyces cerevisiae and rearing conditions on the onset of intestinal microbiota and digestive enzymes in rainbow trout, Onchorhynchus mykiss, fry",Waché … Quentel,2006,Aquaculture,177,1.64,False,highly-cited,10.1016/j.aquaculture.2006.04.002,https://doi.org/10.1016/j.aquaculture.2006.04.002,https://openalex.org/W2156285480,host-microbiome,
"Divergence across diet, time and populations rules out parallel evolution in the gut microbiomes of Trinidadian guppies",Sullam … Russell,2015,The ISME Journal,176,6.2,False,highly-cited,10.1038/ismej.2014.231,https://doi.org/10.1038/ismej.2014.231,https://openalex.org/W2013103271,host-microbiome,"Diverse microbial consortia profoundly influence animal biology, necessitating an understanding of microbiome variation in studies of animal adaptation. Yet, little is known about such variability among fish, in spite of their importance in aquatic ecosystems. The Trinidadian guppy, Poecilia reticulata, is an intriguing candidate to test microbiome-related hypotheses on the drivers and consequences of animal adaptation, given the recent parallel origins of a similar ecotype across streams. To assess the relationships between the microbiome and host adaptation, we used 16S rRNA amplicon sequenc"
Seawater transfer alters the intestinal microbiota profiles of Atlantic salmon (Salmo salar L.),Dehler … Martín,2017,Scientific Reports,171,3.85,False,highly-cited,10.1038/s41598-017-13249-8,https://doi.org/10.1038/s41598-017-13249-8,https://openalex.org/W2765307684,host-microbiome,"Atlantic salmon undergo dramatic physiological changes as they migrate from freshwater to the marine environment. Osmoregulatory adaptation is the most crucial change, necessitating functional adaptations of the gills, kidney and intestine. Additionally, novel pathogens, microbes and dietary items are encountered in the saltwater environment, which suggests major changes in the intestinal microbiota following movement to saltwater. Here we compared the intestinal microbiota harboured in the distal digesta of Atlantic salmon freshwater fish (FW) kept in a commercial Scottish freshwater hatchery"
Host species as a strong determinant of the intestinal microbiota of fish larvae,Li … Gong,2012,The Journal of Microbiology,163,1.98,False,highly-cited,10.1007/s12275-012-1340-1,https://doi.org/10.1007/s12275-012-1340-1,https://openalex.org/W2016023618,host-microbiome,"We investigated the influence of host species on intestinal microbiota by comparing the gut bacterial community structure of four cohabitating freshwater fish larvae, silver carp, grass carp, bighead carp, and blunt snout bream, using denaturing gradient gel electrophoresis (DGGE) of the amplified 16S and 18S rRNA genes. Similarity clustering indicated that the intestinal microbiota derived from these four fish species could be divided into four groups based on 16S rRNA gene similarity, whereas the eukaryotic 18S rRNA genes showed no distinct groups. The water sample from the shared environmen"
Perturbation and restoration of the fathead minnow gut microbiome after low-level triclosan exposure,Narrowe … Miller,2015,Microbiome,161,6.5,False,highly-cited,10.1186/s40168-015-0069-6,https://doi.org/10.1186/s40168-015-0069-6,https://openalex.org/W2157695611,host-microbiome,"BACKGROUND: Triclosan is a widely used antimicrobial compound and emerging environmental contaminant. Although the role of the gut microbiome in health and disease is increasingly well established, the interaction between environmental contaminants and host microbiome is largely unexplored, with unknown consequences for host health. This study examined the effects of low, environmentally relevant levels of triclosan exposure on the fish gut microbiome. Developing fathead minnows (Pimephales promelas) were exposed to two low levels of triclosan over a 7-day exposure. Fish gastrointestinal tract"
The Gills of Reef Fish Support a Distinct Microbiome Influenced by Host-Specific Factors,Pratte … Stewart,2018,Applied and Environmental Microbiology,159,4.65,False,highly-cited,10.1128/aem.00063-18,https://doi.org/10.1128/aem.00063-18,https://openalex.org/W2790666155,host-microbiome,"ABSTRACT Teleost fish represent the most diverse of the vertebrate groups and play important roles in food webs, as ecosystem engineers, and as vectors for microorganisms. However, the microbial ecology of fishes remains underexplored for most host taxa and for certain niches on the fish body. This is particularly true for the gills, the key sites of respiration and waste exchange in fishes. Here we provide a comprehensive analysis of the gill microbiome. We focus on ecologically diverse taxa from coral reefs around Moorea, sampling the gills and intestines of adults and juveniles representing"
Gut Microbiota Dynamics during Dietary Shift in Eastern African Cichlid Fishes,Baldo … Salzburger,2015,PLoS ONE,148,4.55,False,highly-cited,10.1371/journal.pone.0127462,https://doi.org/10.1371/journal.pone.0127462,https://openalex.org/W257587879,host-microbiome,"The gut microbiota structure reflects both a host phylogenetic history and a signature of adaptation to the host ecological, mainly trophic niches. African cichlid fishes, with their array of closely related species that underwent a rapid dietary niche radiation, offer a particularly interesting system to explore the relative contribution of these two factors in nature. Here we surveyed the host intra- and interspecific natural variation of the gut microbiota of five cichlid species from the monophyletic tribe Perissodini of lake Tanganyika, whose members transitioned from being zooplanktivoro"
Cetobacterium Is a Major Component of the Microbiome of Giant Amazonian Fish (Arapaima gigas) in Ecuador,Ramírez … Romero,2018,Animals,141,4.39,False,highly-cited,10.3390/ani8110189,https://doi.org/10.3390/ani8110189,https://openalex.org/W2898549781,ambiguous,"Arapaima gigas is a large air-breathing fish found in Amazonian rivers, a characteristic that gives this species an advantage in oxygen-deprived waters. It shows high potential for aquaculture in the Amazon region due to its fast growth rate that approaches 10–15 kg/year. The aim of this study was to explore the composition of the intestinal bacterial community of Arapaima gigas reared in Ecuador using 16S rRNA gene high-throughput sequencing. The analysis revealed significant differences in alpha diversity indices (p &lt; 0.05) and differential distribution of minor components of the intestin"
