doi,annee,titre,revue,citations,decision,motif,confiance,resume_present,preprint,source
10.1007/s10347-010-0255-8,2011.0,"Hydrochemistry and microbialites of the alkaline crater lake Alchichica, Mexico",Facies,117,exclude,"Lake microbialite/cyanobacteria geochemistry study, no host organism, unrelated to hybrid fish microbiome",0.98,True,False,s2
10.3390/ijms26083619,2025.0,Multi-Omic Analysis Reveals the Potential Anti-Disease Mechanism of Disease-Resistant Grass Carp,International Journal of Molecular Sciences,3,exclude,"Backcross aquaculture study on disease resistance/cultivation, not natural hybrid zone or hologenome framework",0.9,True,False,s2
10.1158/1538-7445.am2023-5231,2023.0,"Abstract 5231: Whole genome sequencing reveals significant genetic admixture in multiple myeloma patients, impacting assessment of etiology",Cancer Research,0,exclude,"Human clinical multiple myeloma genetics/microbiome study, unrelated to hybridization zones or fish microbiota",0.98,True,False,s2
10.1111/bij.12466,2015.0,Evidence of introgressive hybridization between the morphologically divergent land snails Ainohelix and Ezohelix,Biological Journal of The Linnean Society,27,exclude,"16S used as mitochondrial phylogenetic marker for snail introgression, not host microbiome study",0.95,True,False,s2
10.18470/1992-1098-2020-4-52-62,2021.0,Effect of antibiotics on the cellulolytic and nitrification activity of gray forest soil,"South of Russia: ecology, development",9,exclude,"Soil microbiology/antibiotics study, no host organism, no hybridization, unrelated to fish microbiota topic",0.98,True,False,s2
10.1186/s13071-023-05971-2,2023.0,Genetic analysis challenges the presence of Ixodes inopinatus in Central Europe: development of a multiplex PCR to distinguish I. inopinatus from I. ricinus,Parasites & Vectors,10,exclude,"Tick species identification/hybridization via genetic markers, not host microbiome study",0.95,True,False,s2
10.1002/ece3.6982,2020.0,"Phylogeny and biogeography of the Japanese rhinoceros beetle, Trypoxylus dichotomus (Coleoptera: Scarabaeidae) based on SNP markers",Ecology and Evolution,17,exclude,"Beetle phylogeography using SNPs/16S as marker, no host microbiome or hybridization microbiota study",0.97,True,False,s2
10.3390/microorganisms11020261,2023.0,Residual Effects of Transgenic Cotton on the Intestinal Microbiota of Dysdercus concinnus,Microorganisms,3,exclude,"Insect gut microbiome on GM vs non-GM cotton, not host hybridization/introgression between organisms",0.94,True,False,s2
10.1371/journal.pone.0317657,2025.0,"Gut microbiota signatures of the three Mexican primate species, including hybrid populations",PLoS ONE,5,include,"Empirical gut microbiota study of natural primate hybrid zone, intermediate pattern, host genetic distance correlation",0.9,True,False,s2
10.1016/j.marpolbul.2019.01.041,2019.0,"Comparison of rhizosphere bacterial communities of reed and Suaeda in Shuangtaizi River Estuary, Northeast China.",Marine Pollution Bulletin,37,exclude,"Rhizosphere soil bacteria near plant zones, not host-associated hybrid microbiome; 'hybrid zone' refers to spatial vegetation mixing",0.95,True,False,s2
10.1371/journal.pone.0042786,2012.0,Assessing Bacterial Populations in the Lung by Replicate Analysis of Samples from the Upper and Lower Respiratory Tracts,PLoS ONE,157,exclude,"Human clinical respiratory microbiome study, unrelated to hybridization, host genetics, or fish tissue comparison",0.98,True,False,s2
10.1111/eva.12246,2015.0,Research highlights for issue 2: recent applications in molecular evolution,Evolutionary Applications,0,exclude,"News highlights on mosquito genomics/introgression, not host microbiome-hybrid empirical study",0.97,True,False,s2
10.7717/peerj.20460,2025.0,Human-mediated dispersal of Geniotrigona thoracica (Apidae: Meliponini) colonies promotes high genetic diversity and reduces population structuring in managed populations,PeerJ,1,exclude,"Population genetics of bee colonies via mitochondrial/microsatellite markers, not host microbiome or hybridization microbiota",0.97,True,False,s2
10.3389/fmicb.2022.871017,2022.0,Species-Resolved Metagenomics of Kindergarten Microbiomes Reveal Microbial Admixture Within Sites and Potential Microbial Hazards,Frontiers in Microbiology,23,exclude,"Human/environmental surface microbiome study, unrelated to host hybridization, fish tissues, or genetic ancestry index",0.98,True,False,s2
10.1098/rspb.2024.1970,2024.0,Eco-evolutionary dynamics of host–microbiome interactions in a natural population of closely related mouse subspecies and their hybrids,Proceedings B,2,include,"Natural hybrid zone, genetic admixture effect on host microbiome, host vs environment partitioning, directly relevant framing",0.9,True,False,"openalex,s2"
10.1093/femsec/fiz182,2019.0,No evidence for phylosymbiosis in western chipmunk species.,FEMS Microbiology Ecology,38,exclude,"Phylosymbiosis across chipmunk species/mitochondrial introgression, not a natural hybrid zone with hybrid vs parental microbiome comparison",0.72,True,False,"openalex,s2"
10.1101/2022.10.24.22281483,2022.0,BugSigDB: accelerating microbiome research through systematic comparison to published microbial signatures,medRxiv,2,exclude,"General human microbiome signature database tool, no hybridization or host genetics link",0.97,True,True,s2
10.1016/j.ympev.2015.05.018,2015.0,"Phylogeography of the arid-adapted Malagasy bullfrog, Laliostoma labrosum, influenced by past connectivity and habitat stability.",Molecular Phylogenetics and Evolution,20,exclude,"Phylogeography of frog species, no microbiote, no hybridization zone microbial study",0.98,True,False,s2
10.1016/j.dib.2025.111966,2025.0,Bacterial and fungal microbiome dataset from holobionts of CP4-EPSPS–containing hybrids and wild-type Brassica juncea in South Korea,Data in Brief,0,exclude,"Hybrides végétaux issus de transgène agricole, sans index d'ascendance continu ni cadre hôte-microbiote évolutif comparable",0.75,True,False,s2
10.1038/s41586-025-09856-5,2026.0,An ancient DNA perspective on the Russian conquest of Yakutia,Nature,1,exclude,"Human ancient DNA and oral microbiome study, unrelated to hybridization or animal/plant host-microbiota genetics",0.97,True,False,s2
10.1128/msystems.00131-18,2018.0,Finer-Scale Phylosymbiosis: Insights from Insect Viromes,mSystems,40,exclude,"Insect virome/phylosymbiosis in lab wasp species, not fish host-microbiota hybrid zone or genetic index",0.95,True,False,s2
10.1016/j.plaphy.2026.111231,2026.0,Genotyping by sequencing of wild interspecific mapping population detected novel genetic locus harbouring OsPT11 for rice yield under nutrient stress conditions.,Plant physiology and biochemistry : PPB,0,exclude,"Rice QTL mapping for yield under nutrient stress; no microbiome data, agronomic crop study only",0.97,True,False,s2
10.1128/msystems.01516-21,2022.0,Endosymbionts Reduce Microbiome Diversity and Modify Host Metabolism and Fecundity in the Planthopper Sogatella furcifera,mSystems,39,exclude,"Endosymbiont infection study in planthopper, no hybridization zone or host genetic ancestry-microbiome link",0.95,True,False,s2
10.5511/plantbiotechnology.25.0310b,2025.0,Species-level bacterial community shift in rice growth stages,Plant Biotechnology,2,exclude,"Rice growth stage phyllosphere study, no hybrid comparison or hybridization zone, agronomic focus",0.9,True,False,s2
10.26686/wgtn.25989046,,"Native and Invasive Smooth Shelled Blue Mussels (Mytilus spp.) in New Zealand: Evolutionary, Biosecurity and Aquaculture Implications",,2,exclude,"Mussel shell morphology/genetics hybridization study, no host microbiota characterization",0.97,True,False,s2
10.1038/s41598-017-02945-0,2017.0,Wandering behaviour prevents inter and intra oceanic speciation in a coastal pelagic fish,Scientific Reports,7,exclude,"Phylogeography of anchovies using mtDNA/microsatellites; no host microbiota, no hybridization microbiome study",0.97,True,False,s2
10.7717/peerj.13240,2022.0,Differentiation patterns of emperor moths (Lepidoptera: Saturniidae: Saturniinae) of a continental island: divergent evolutionary history driven by Pleistocene glaciations,PeerJ,4,exclude,"Phylogeography/speciation via mtDNA barcoding of moths; no microbiome, no hybrid zone microbiota comparison",0.98,True,False,s2
10.17816/ecogen17323-38,2019.0,Sinorhizobium meliloti: chromosomal types and genomic islands,Экологическая генетика,3,exclude,"Rhizobium genomics of alfalfa nodules, not host microbiote of hybrid animals/plants tissues",0.95,True,False,s2
10.1007/s13127-018-00389-6,2019.0,"Taxonomic revision of the dwarf spider genus Shaanxinus Tanasevitch, 2006 (Araneae, Linyphiidae, Erigoninae), with new species from Taiwan and Vietnam",Organisms Diversity & Evolution,2,exclude,"Taxonomic spider revision using COI/16S/28S markers, not host microbiome study of hybridization zones",0.97,True,False,s2
10.1186/s12885-020-07007-9,2020.0,"Integration of genomics, metagenomics, and metabolomics to identify interplay between susceptibility alleles and microbiota in adenoma initiation",BMC Cancer,9,exclude,"Mouse cancer model genetics/microbiota study, not hybridization zone or host-microbiota evolutionary framework relevant here",0.97,True,False,s2
10.1080/21564574.2023.2245840,2023.0,"Systematics of the Thirteen-scaled Green Snake Philothamnus carinatus (Squamata: Colubridae), with the description of a cryptic new species from Central and East Africa",African Journal of Herpetology,2,exclude,"Snake phylogenetics using 16S as marker gene, not host microbiota; no hybrid microbiome data",0.97,True,False,s2
10.1007/s10144-010-0252-3,2010.0,Forest gene diversity is correlated with the composition and function of soil microbial communities,Population Ecology,60,exclude,"Soil microbial community linked to plant stand gene diversity, not host-associated microbiota of hybrid organism itself",0.9,True,False,s2
10.2307/3495738,1993.0,"Research Reports: Size Difference Among 16S rRNA Genes From Endosymbiontic Bacteria Found in Testes of Heliothis Virescens, H. Subflexa, (Lepidoptera: Noctuidae) and Backcross Sterile Male Moths",Florida Entomologist,9,exclude,"Endosymbiont incompatibility in interspecific insect crosses, not host-associated 16S microbiote community study of hybridization zone",0.9,True,False,s2
10.1021/acs.est.9b06680,2020.0,Increased resistance of nitrite-admixed concrete to microbially induced corrosion in real sewers.,Environmental Science and Technology,33,exclude,"Microbiote de béton/égout sans hôte animal ni hybridation biologique, hors sujet",0.98,True,False,s2
10.5021/ad.2016.28.4.505,2016.0,A Case of Facial Sarcoptes scabiei in a Female Child,Annals of Dermatology,1,exclude,"Case report on human scabies infection, unrelated to fish hybridization or microbiota",0.99,True,False,s2
10.3897/zookeys.809.30087,2018.0,"Phylogenetic and morphological discord indicates introgressive hybridisation in two genera of Australian millipedes (Diplopoda, Polydesmida, Paradoxosomatidae)",ZooKeys,1,exclude,Phylogenetic/morphological hybridization study in millipedes; no microbiome or 16S microbial community characterization,0.96,True,False,s2
10.1098/rspb.2019.0431,2019.0,"Genes, geology and germs: gut microbiota across a primate hybrid zone are explained by site soil properties, not host species",Proceedings of the Royal Society B,124,include,"Empirical microbiome study across natural primate hybrid zone, testing host genetics vs environment predictors",0.85,True,False,s2
10.1111/mec.16616,2022.0,Unveiling biogeographical patterns in the worldwide distributed Ceratitis capitata (medfly) using population genomics and microbiome composition,Molecular Ecology,12,exclude,"Population genomics and microbiome of invasive medfly biogeography, not hybridization zone or hybrid microbiome study",0.9,True,False,s2
10.1890/07-0337.1,2008.0,Plant-soil microorganism interactions: heritable relationship between plant genotype and associated soil microorganisms.,Ecology,364,include,"Heritable plant genotype-soil microbiome link in Populus hybrids/backcrosses, supports genetic control/heritability framing",0.75,True,False,s2
10.1186/s40168-026-02345-5,2025.0,"The antimicrobial gut resistome of the Wayampi reveals a shared background of antibiotic and metal resistance genes with industrialized populations, underscoring the “robust-yet-fragile” architecture of human gut microbiomes",bioRxiv,1,exclude,"Human gut resistome study, no hybridization or host genetics link, clinical/human population comparison only",0.97,True,True,s2
10.1007/s00248-025-02622-0,2025.0,Effects of CP4-EPSPS-Containing Brassica juncea Hybrids on the Gut and Fecal Microbiota of the Terrestrial Decomposer Armadillidium vulgare,Microbial Ecology,1,exclude,GM crop hybrid effect on decomposer gut microbiome; not host hybridization/introgression zone or host genetics-microbiome link,0.95,True,False,s2
10.1093/femsyr/foag039,2026.0,Genomic Tales of Wine Yeasts: From Domestication to Functional Innovation.,FEMS Yeast Research,0,exclude,"Wine yeast genomics/domestication study, not host microbiota, hybrid zones, or fish tissue comparisons",0.97,True,False,s2
10.1093/molbev/msx206,2017.0,Archaic Hominin Introgression in Africa Contributes to Functional Salivary MUC7 Genetic Variation,Molecular biology and evolution,59,exclude,"Human oral microbiome/MUC7 introgression, not fish hybridization zone or animal/plant host microbiome study",0.9,True,False,s2
10.4049/jimmunol.206.supp.105.05,2021.0,Roles of CX3CR1 and probiotic lactobacilli on the development of autoimmunity in MRL/lpr mice,Journal of Immunology,0,exclude,"Mouse autoimmune disease/probiotic study, no hybridization, host-microbiota genetics in clinical context, not host-hybrid microbiome study",0.97,True,False,s2
10.1038/s41564-018-0338-9,2019.0,Megaphages infect Prevotella and variants are widespread in gut microbiomes,Nature Microbiology,187,exclude,"Human/animal gut phage discovery, no hybridization or host genetics-microbiome link",0.97,True,False,s2
10.22416/1382-4376-2018-28-3-88-100,2018.0,"Прукалоприд и мультиштаммовый пробиотик в разрешении автономной кишечной нейропатии у пациентов, находящихся в критическом состоянии(Клинический разбор)",,1,exclude,"Clinical human gut neuropathy case report, unrelated to hybrid fish microbiota or host genetics",0.98,True,False,s2
10.1016/j.bcab.2019.101192,2019.0,Modified cement composites for protection against microbial induced concrete corrosion of marine structures,Biocatalysis and Agricultural Biotechnology,17,exclude,"About concrete corrosion microbiology, unrelated to host microbiota or hybridization",0.99,True,False,s2
10.62550/sy3246,2015.0,Morphological and Molecular Analysis of the Sea Catfishes Arius manillensis and Arius dispar (Siluriformes: Ariidae),The Philippine agricultural scientist,2,exclude,"Taxonomic/phylogenetic species delimitation study, no microbiome data, no host-microbe hybridization analysis",0.97,True,False,s2
10.1161/atvb.39.suppl_1.378,2019.0,Abstract 378: Creation of Four Congenic Mouse Strains Confirms and Localizes an Atherosclerosis Modifying Gene on Chromosome 15,"Arteriosclerosis, Thrombosis and Vascular Biology",0,exclude,"Mouse atherosclerosis QTL genetics study, not host-microbiota hybridization research; only tangential feces-mixing control mention",0.97,True,False,s2
10.1007/bf03544344,2016.0,"Confirmation of the hybridization of Chiroxiphia Cabanis, 1847 and Antilophia Reichenbach, 1850 (Passeriformes: Pipridae) using molecular markers",Revista Brasileira de Ornitologia,4,exclude,"Hybridization genetic marker confirmation study, not host microbiota/16S community analysis of hybrids",0.97,True,False,s2
10.7554/elife.75419,2021.0,Key features of the genetic architecture and evolution of host-microbe interactions revealed by high-resolution genetic mapping of the mucosa-associated gut microbiome in hybrid mice,bioRxiv,15,include,"Hybrid mouse zone, gut microbiome heritability, host genetic mapping of microbial traits—supports heritability/genetic control frame",0.9,True,True,s2
10.1101/2023.12.11.571054,2023.0,"Subspecies divergence, hybridisation and the spatial environment shape phylosymbiosis in the microbiome of house mice",bioRxiv,3,include,"Empirical hybrid zone (house mouse), microbiome vs subspecies genetic divergence/hybridisation, phylosymbiosis, host genetics vs environment",0.9,True,True,"openalex,s2"
10.3390/plants12040737,2023.0,Exploiting Rye in Wheat Quality Breeding: The Case of Arabinoxylan Content,Plants,7,exclude,"Wheat-rye introgression for arabinoxylan/agronomic quality, not microbiome of hybridization zone hosts",0.97,True,False,s2
10.1111/mec.70498,2026.0,Genetic Links to Gut Microbiome Variation in the Yellow-Rumped Warbler Hybrid Zone.,Molecular Ecology,0,include,"Natural hybrid zone, 16S gut microbiome, host genotype-microbiome association mapping directly relevant to frames (i)-(ii)",0.85,True,False,"openalex,s2"
10.1101/2025.09.25.678039,2025.0,The reproductive microbiome inhibits pollen germination in milkweed,bioRxiv,0,exclude,"Stigmatic microbiome affects pollination barriers, not host microbiome composition compared across hybrid vs parental individuals/tissues",0.82,True,True,s2
10.4038/cjs.v49i4.7823,2020.0,Historic black rat invasions into Sri Lanka lead to hybridization forming two sub-lineages in the Rattus rattus species complex,Ceylon Journal of Science,2,exclude,"Phylogénétique/introgression de rats via gènes marqueurs, sans microbiote ni communauté bactérienne de l'hôte",0.97,True,False,s2
10.1016/j.jgeb.2026.100778,2026.0,"Ancient DNA as a temporal lens: reconstructing evolution, migration, and disease dynamics",Journal of Genetic Engineering and Biotechnology,0,exclude,"aDNA review on human migration/pathogens, no host microbiome-hybridization study relevant to fish hybrid zones",0.97,True,False,s2
10.1007/s00011-023-01731-1,2023.0,CX3CR1 modulates SLE-associated glomerulonephritis and cardiovascular disease in MRL/lpr mice,Inflammation Research,16,exclude,"Mouse lupus model study, not fish hybridization or host-microbiome hybrid zone research",0.98,True,False,s2
10.1101/2023.12.18.571948,2023.0,"JASPER: fast, powerful, multitrait association testing in structured samples gives insight on pleiotropy in gene expression",bioRxiv,0,exclude,"Statistical method for gene expression/multitrait GWAS, not host microbiome or hybridization study",0.95,True,True,s2
10.1016/j.aqrep.2023.101889,2024.0,"Effects of the total fish meal replacement by plant meal on growth performance, nutrient utilization and intestinal microbiota of backcross F2 derived from blunt snout bream (Megalobrama amblycephala, ♀) × topmouth culter (Culter alburnus, ♂)",Aquaculture Reports,9,exclude,"Aquaculture-focused study on feed replacement and growth, not evolutionary hybrid microbiome question",0.85,False,False,s2
10.1053/j.gastro.2020.10.031,2020.0,Epithelial TLR4 signaling activates DUOX2 to induce microbiota-driven tumorigenesis,Gastroenterology,84,exclude,"Human colitis/cancer TLR4-microbiota study, no hybridization or host genetic ancestry comparison",0.98,True,False,s2
10.1093/femsec/fiaa213,2020.0,Stump removal and tree species composition promote a bacterial microbiome that may be beneficial in the suppression of root disease.,FEMS Microbiology Ecology,4,exclude,"Soil bacterial community study unrelated to host microbiome, hybridization, or host genetics",0.98,True,False,s2
10.1016/j.cryobiol.2025.105281,2025.0,Study of freezing properties of aqueous leaf homogenates from Hippophae rhamnoides.,Cryobiology,3,exclude,"Plant freezing/cryobiology study with ice-nucleating bacteria, unrelated to hybridization or host-microbiota genetics",0.97,True,False,s2
10.1016/j.jaci.2017.12.586,2018.0,Skin microbiome regulates SCF level in Keratinocytes and defines mast cell maturation,Journal of Immunology,1,exclude,"Mouse immunology study of skin microbiome and mast cells, no hybridization or host genetics link",0.97,True,False,s2
10.1242/jeb.250973,2025.0,Microbiome composition shapes temperature tolerance in a Hawaiian picture-winged Drosophila,Journal of Experimental Biology,4,exclude,"Population microbiome-host physiology study, no hybridization/hybrid zone or genetic ancestry-microbiome link",0.9,True,False,s2
10.1016/s1055-7903(03)00217-3,2004.0,High mitochondrial diversity within and among populations of Malagasy poison frogs.,Molecular Phylogenetics and Evolution,41,exclude,"Phylogeography using 16S as marker gene, not host microbiome study; no microbial community analysis",0.97,True,False,s2
10.1016/b978-0-12-817052-6.00010-0,2020.0,Genetics and breeding of sheep and goats,,14,exclude,"Livestock breeding review, no hybridization zone microbiome study or host-microbiota genetic analysis",0.95,True,False,s2
10.1080/14772000.2022.2102686,2022.0,"Shedding light on taxonomic chaos: Diversity and distribution of South Asian skipper frogs (Anura, Dicroglossidae, Euphlyctis)",Systematics and Biodiversity,9,exclude,Frog taxonomy/phylogeography study; no host microbiote characterization despite mention of introgression zone,0.97,True,False,s2
10.13102/sociobiology.v65i4.3442,2018.0,Searching for Molecular Markers to Differentiate Bombus terrestris (Linnaeus) Subspecies in the Iberian Peninsula,Sociobiology,14,exclude,"16S here is a mitochondrial marker for subspecies genotyping, not host-associated microbiome study",0.95,True,False,s2
10.1038/s41587-023-01872-y,2023.0,BugSigDB captures patterns of differential abundance across a broad range of host-associated microbial signatures,Nature Biotechnology,20,exclude,"Database tool for human/host microbiome signatures generally; not hybridization zone, host genetics, or fish tissue comparison study",0.95,True,False,s2
10.1128/microbiolspec.mtbp-0008-2016,2018.0,Tracking the Rules of Transmission and Introgression with Networks,Microbiology spectrum,4,exclude,"Réseau méthodologique sur transmission de gènes/microbes, sans étude empirique d'hybrides ni zone d'hybridation naturelle",0.9,True,False,s2
10.1093/jhered/esaa052,2020.0,Strong sexual selection does not induce population differentiation in a fish species with high dispersal potential: the curious case of the worm pipefish Nerophis lumbriciformis (Teleostei: Syngnathidae).,Journal of Heredity,1,exclude,"Phylogeography using 16S as marker gene, not host microbiome; no hybridization or microbial community study",0.96,True,False,s2
10.1101/2021.08.04.21261547,2021.0,Deconvoluting complex correlates of COVID19 severity with local ancestry inference and viral phylodynamics: Results of a multiomic pandemic tracking strategy,medRxiv,1,exclude,"COVID-19 human microbiome/genomics study, unrelated to animal hybridization zones or host-microbiome heritability",0.98,True,True,s2
10.1093/femsec/fiad127,2023.0,Seasonal restructuring facilitates compositional convergence of gut microbiota in free-ranging rodents.,FEMS Microbiology Ecology,10,unclear,Woodrat hybrid zone gut microbiome study but abstract doesn't clarify hybrid vs parental comparison or host genetic control,0.55,True,False,s2
10.1186/s12862-016-0802-1,2016.0,Spatial pattern of genetic diversity and selection in the MHC class II DRB of three Neotropical bat species,BMC Evolutionary Biology,15,exclude,"MHC genetic diversity study in bats; no microbiome/microbiota data, no hybridization between organisms",0.96,True,False,s2
10.1016/j.geoderma.2023.116638,2023.0,"Tree species mixing begets admixture of soil microbial communities: Variations along bulk soil, rhizosphere soil and root tissue",Geoderma,34,exclude,"Soil/rhizosphere microbiome with tree species mixing, not animal/plant hybrid host microbiota comparison",0.88,False,False,s2
10.1016/j.ympev.2019.106701,2019.0,"Phylogeography, speciation and demographic history: Contrasting evidence from mitochondrial and nuclear markers of the Odorrana graminea sensu lato (Anura, Ranidae) in China.",Molecular Phylogenetics and Evolution,19,exclude,"Phylogéographie et spéciation d'une grenouille, sans microbiote ni analyse de communauté microbienne associée à l'hôte",0.98,True,False,s2
10.1111/mec.17192,2023.0,The effect of host admixture on wild house mouse gut microbiota is weak when accounting for spatial autocorrelation,bioRxiv,6,include,"Empirical hybrid zone gut microbiome study linking continuous admixture index to microbiota, addressing host-environment/spatial partitioning",0.93,True,True,s2
10.1007/s44372-026-00685-y,2026.0,Harnessing halophyte adaptations for salinity resilient agriculture through genetic mechanisms and crop improvement,Discover Plants,1,exclude,"Plant salt-tolerance breeding review, not hybrid zone microbiota, host genetics, or holobiont speciation study",0.97,True,False,s2
10.1093/jas/skz222,2019.0,"Effect of chronic and acute heat challenges on fecal microbiota composition, production, and thermoregulation traits in growing pigs,",Journal of Animal Science,54,exclude,"Pig gut microbiota under heat stress; aquaculture/livestock production study, not hybridization or host genetics context",0.96,True,False,s2
10.1603/0013-8746(2006)99[457:oocrpr]2.0.co;2,2006.0,Origin of Chromosomal Rearrangement: Phylogenetic Relationship Between X0/XX and XY/XX Chromosomal Races in the Brachypterous Grasshopper Podisma sapporensis (Orthoptera: Acrididae),,7,exclude,"Chromosomal phylogeography of grasshopper races via mtDNA, no microbiote or host-microbe study involved",0.97,True,False,s2
10.1038/srep37589,2016.0,Short Chain Fatty Acids Prevent High-fat-diet-induced Obesity in Mice by Regulating G Protein-coupled Receptors and Gut Microbiota,Scientific Reports,554,exclude,"Mouse gut microbiota/obesity diet study, no hybridization, no host genetics or hybrid zone context",0.98,True,False,s2
10.3389/fpls.2022.829337,2022.0,High-Throughput Sequencing-Based Analysis of Rhizosphere and Diazotrophic Bacterial Diversity Among Wild Progenitor and Closely Related Species of Sugarcane (Saccharum spp. Inter-Specific Hybrids),Frontiers in Plant Science,19,exclude,"Rhizosphere/soil microbiome of sugarcane species, not host hybrid comparison; agronomic crop breeding focus",0.9,True,False,"openalex,s2"
10.1016/j.ttbdis.2022.102020,2022.0,"A new species of tick, Ixodes (Ixodes) mojavensis (Acari: Ixodidae), from the Amargosa Valley of California",Ticks and Tick-borne Diseases,9,exclude,"Tick taxonomy/phylogenetics paper; no host microbiome study, no hybridization microbiota link",0.97,True,False,s2
10.1038/s42003-025-08862-7,2025.0,Midgut microbiota diversity and interactions shift when field Aedes aegypti mosquitoes carry the wMel strain of Wolbachia pipientis,Communications Biology,2,exclude,"Wolbachia infection study in mosquitoes, not host hybridization/hybrid zone or genetic ancestry-microbiome link",0.95,True,False,s2
10.1093/hr/uhag267,2026.0,"Tuning Tomato Immunity: Integrating Signaling Networks, Epigenetic Regulation, and Rhizosphere Microbiomes for Durable Resistance",Horticulture Research,0,exclude,"Tomato immunity/rhizosphere review, no hybridization zone, no animal microbiome, no ancestry-microbiome heritability analysis",0.97,True,False,"openalex,s2"
10.1007/s00248-026-02750-1,2026.0,Characterizing the Microbiome and Prevalence of Wolbachia in Culex pipiens Complex and Culex restuans Mosquitoes in the Midwest United States,Microbial Ecology,0,exclude,"Mosquito species complex/forms study, not a natural hybridization zone with continuous ancestry-microbiome analysis",0.75,True,False,s2
10.30978/mg-2025-3-104,2025.0,Microscopic colitis: a modern view on the problem,Modern Gastroenterology,0,exclude,"Human clinical microscopic colitis review, no hybridization or host-genetics-microbiome link",0.98,True,False,s2
10.1002/ggn2.10041,2021.0,The missing person in gene‐environment interactions,Advanced genetics,0,exclude,"Human clinical gene-environment/sickle cell disease paper, unrelated to hybridization or host microbiota",0.98,True,False,s2
10.1186/s40168-022-01407-8,2022.0,Human microbiota drives hospital-associated antimicrobial resistance dissemination in the urban environment and mirrors patient case rates,Microbiome,36,exclude,"Human clinical/urban microbiome and AMR study, unrelated to hybridization or host genetics",0.98,True,False,s2
10.1016/j.foreco.2020.118799,2021.0,Moderate effects of tree species identity on soil microbial communities and soil chemical properties in a common garden experiment,Forest Ecology and Management,34,exclude,"Soil microbial community under tree species, no host microbiome, no hybridization or host genetics involved",0.98,True,False,s2
