emplacement,valeur_citee,actuelle_aout,passe1_20Hy_n158,passe2_42Hy_n180,conclusion,cause_du_changement,note,attribution_passe2_vers_passe1 (témoin 27)
"Supp., Host identity",bibliothèques par hôte sur 727 (Pt / Cn / Hy),369 / 236 / 122,322 / 236 / 82 (640 ; 87 de quasi-purs exclues),322 / 236 / 169,à réécrire,étiquettes,63 échantillons déposés à l'ENA changent d'identité d'hôte (16 individus) : le dépôt porte encore la classification d'août,
§8.6,rétention caudale Hy vs Pt à 3 000 lectures,57 % vs 87 %,50 % vs 86 %,67 % vs 86 %,le constat de sélection orientée tient ; ampleur modifiée,étiquettes (passe 2) ; effectif (passe 1),,
§8.6 ; Table S7,écart caudal Pt−Hy à 3 000 (points),30.4,36.4,19.8,le constat de sélection orientée tient ; ampleur modifiée,étiquettes (passe 2) ; effectif (passe 1),,
§8.6,écart à Büech-Méouge (points),52.9,48.2,35.7,le constat de sélection orientée tient ; ampleur modifiée,étiquettes (passe 2) ; effectif (passe 1),,
§8.6 ; Table S7,écart caudal à 500 (points),2.5,3.8,5.7,le constat de sélection orientée tient ; ampleur modifiée,étiquettes (passe 2) ; effectif (passe 1),,
§8.6,écart midgut à 500 (points),15.0,14.0,8.9,le constat de sélection orientée tient ; ampleur modifiée,étiquettes (passe 2) ; effectif (passe 1),,
Table S7,dernière colonne : écart caudal Pt−Hy par seuil (500/750/1000/1500/2000/3000),2.5 / 8.1 / 21.4 / 23.7 / 28.2 / 30.4,3.8 / 7.6 / 27.6 / 31.4 / 32.7 / 36.4,5.7 / 9.3 / 18.8 / 19.9 / 18.6 / 19.8,à réécrire,étiquettes / effectif,les colonnes de corrélation de la Table S7 ne dépendent pas de la catégorie,
§8.8,V de Cramér catégorie × colonne,"0,48 (taxon MORPHOLOGIQUE, 0,477)","0,526 (éch.) / 0,527 (ind.)","0,479 (éch.) / 0,479 (ind.)","à réécrire : la valeur citée n'est pas celle de la classification d'août (0,504)",source erronée + étiquettes,,
§8.8 ; Table S6,"colonne de plaque : strates p<0,05, p max","24/24, ≤ 0.007","24/24, ≤ 0.033","24/24, ≤ 0.007",tient,effectif seul (la colonne ne dépend pas des étiquettes),,
§8.8 ; Table S6,colonne : R² médian ; ratio R²/(df/(n−1)) ; df,0.141 ; 1.95 ; 11,0.152 ; 1.84 ; 11,0.141 ; 1.95 ; 11,tient,effectif seul,,
§8.8 ; Table S6,"catégorie après colonne : R² ; ratio ; strates p<0,05",0.029 ; 2.32 ; 14/24 (taxon MORPHOLOGIQUE Ch/Cn/Pt),0.026 ; 1.61 ; 19/24,0.024 ; 1.77 ; 18/24,"à réécrire : ratio plus bas, plus de strates significatives ; « même ordre que la colonne » tient",source (morpho→génotype) + étiquettes,classification d'août (même règle) : 0.024 ; 1.82 ; 19/24,
§8.8 ; Table S6,station ajustée en premier : R² ; ratio,0.196 ; 3.69,0.204 ; 3.32,0.196 ; 3.69,tient,effectif seul,,
§8.8 ; Table S6,témoin « stations à une seule catégorie » : strates ; ratio ; R² ; df,"20/24 ; 2,11 ; 0,301 ; 9 — sites Bau/Caa/Jus/Per (4, pas 5), mono-taxon MORPHOLOGIQUE (Ch non résolus)",n'existe plus : aucun site n'est mono-catégorie. Remplacé par intra-catégorie : Cn 6/24 ratio 1.63 R2 0.221 df 6 ; Pt 17/24 ratio 1.65 R2 0.227 df 9 ; Hy non testable,idem. Cn 7/24 ratio 1.63 R2 0.221 df 6 ; Pt 17/24 ratio 1.65 R2 0.227 df 9 ; Hy 1/2 ratio 1.37 R2 0.310 df 7,"le témoin d'origine tombe (il ne contrôlait pas la catégorie génotypique) ; le remplaçant soutient un effet positionnel, plus faiblement",témoin invalide sous génotypage,en août génotypique : Cn 10/24 ratio 1.65 R2 0.217 df 6 ; Pt 17/24 ratio 1.74 R2 0.207 df 9,
§8.8 ; Table S6,colonne après catégorie (ordre symétrique) : strates,21/24 (sites multi-taxon morpho),21/24 (tous sites),22/24 (tous sites),tient,jeu de sites différent (non comparable strictement),,
§8.8 ; Table S6,"rangée ; bord : strates p<0,05",6/24 ; 0/24,7/24 ; 0/24,6/24 ; 0/24,tient,effectif seul,,
§8.8,« the mechanism is not identified »,non identifié,"origine de l'association documentée (ordre de prélèvement ; ρ numéro×colonne 0,87–0,95 à 5 stations)",idem,à réécrire (information d'André),—,l'origine de l'effet colonne lui-même (extraction ou délai de dissection) reste non identifiée,
§8.8 ; §8.6,« plate column is carried as a covariate in every model testing category »,covariable dans tous les modèles,modèle principal SANS position (D2) ; position en sensibilité,idem,à réécrire (D2),décision,,
§8.9,sous-plan séparable à station constante (individus),32 (90 au total),31 (64 au total),32 (97 au total),tient : trop mince en toute passe,étiquettes / effectif,,
§8.9,témoin Rosières : composition ; V ; p,"0/4/21 ; V = 0,181 ; p = 0,35","0/1/18 ; V = 0,309 ; p = 0,06","0/7/18 ; V = 0,181 ; p = 0,35",passe 1 : ne témoigne plus ; passe 2 : témoin renforcé,effectif (passe 1) ; étiquettes (passe 2),"V identique en août et passe 2 : coïncidence vérifiée (χ² = 3,2738 dans les deux tables)",
§8.9,"catégorie : « 1,4 % à 2,7 % » (médiane des 48 strates, ordre MIN–MAX, avec position)",1.44–2.74,1.60–2.78,1.38–3.00,tient,étiquettes / effectif,sans position (D2) : août 1.54–2.74 ; passe 1 1.65–2.78 ; passe 2 1.45–3.00,
§8.9,"station : « 14 % à 36 % » (MIN–MAX sur les strates, et non médiane)",13.8–36.3,14.0–35.8,13.7–35.2,tient ; MAIS la phrase compare une médiane (catégorie) à une étendue (station),défaut de rédaction,"médianes station par métrique (Table S8) : 14,9–29,0 (août)",
§8.9,« aucun tissu détecté par les 4 métriques dans les 2 schémas »,aucun,aucun,aucun,tient (avec et sans position),—,,
Table S8,Bray–Curtis : R² catégorie (%) encadrement ; R² station (%),1.42–3.27 ; 25.6,1.68–3.44 ; 25.1,1.32–3.65 ; 25.1,tient (ordres de grandeur),étiquettes / effectif,,
Table S8,Bray–Curtis — caudale : runs significatifs séquentiel / station bloquée,2 / 2,1 / 0 [sans pos : 1 / 0],0 / 0 [sans pos : 0 / 0],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos DÉFINITION ; bloq+pos = ; séq DÉFINITION ; bloq =
Table S8,Bray–Curtis — branchie : runs significatifs séquentiel / station bloquée,3 / 3,3 / 1 [sans pos : 3 / 3],3 / 3 [sans pos : 3 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos EFFECTIF ; séq = ; bloq =
Table S8,Bray–Curtis — midgut : runs significatifs séquentiel / station bloquée,0 / 0,3 / 0 [sans pos : 3 / 0],0 / 3 [sans pos : 0 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos DÉFINITION ; bloq+pos indét. ; séq DÉFINITION ; bloq DÉFINITION
Table S8,Bray–Curtis — hindgut : runs significatifs séquentiel / station bloquée,0 / 0,0 / 0 [sans pos : 0 / 0],1 / 3 [sans pos : 2 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos EFFECTIF ; bloq+pos EFFECTIF ; séq EFFECTIF ; bloq indét.
Table S8,Jaccard : R² catégorie (%) encadrement ; R² station (%),1.36–2.08 ; 14.9,1.52–2.33 ; 15.1,1.35–2.28 ; 14.8,tient (ordres de grandeur),étiquettes / effectif,,
Table S8,Jaccard — caudale : runs significatifs séquentiel / station bloquée,0 / 1,0 / 0 [sans pos : 0 / 0],0 / 0 [sans pos : 0 / 0],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos = ; séq = ; bloq =
Table S8,Jaccard — branchie : runs significatifs séquentiel / station bloquée,3 / 3,2 / 3 [sans pos : 3 / 2],3 / 3 [sans pos : 3 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos EFFECTIF ; bloq+pos = ; séq = ; bloq DÉFINITION
Table S8,Jaccard — midgut : runs significatifs séquentiel / station bloquée,3 / 3,3 / 3 [sans pos : 3 / 3],3 / 3 [sans pos : 3 / 3],inchangé,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos = ; séq = ; bloq =
Table S8,Jaccard — hindgut : runs significatifs séquentiel / station bloquée,2 / 1,1 / 3 [sans pos : 0 / 1],3 / 3 [sans pos : 0 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos EFFECTIF ; bloq+pos = ; séq = ; bloq indét.
Table S8,Unweighted UniFrac : R² catégorie (%) encadrement ; R² station (%),1.58–2.43 ; 17.5,1.65–2.56 ; 18.4,1.46–2.55 ; 17.3,tient (ordres de grandeur),étiquettes / effectif,,
Table S8,Unweighted UniFrac — caudale : runs significatifs séquentiel / station bloquée,2 / 3,1 / 1 [sans pos : 0 / 0],0 / 1 [sans pos : 0 / 1],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos DÉFINITION ; bloq+pos = ; séq = ; bloq EFFECTIF
Table S8,Unweighted UniFrac — branchie : runs significatifs séquentiel / station bloquée,0 / 0,0 / 0 [sans pos : 0 / 0],0 / 0 [sans pos : 1 / 0],inchangé,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos = ; séq EFFECTIF ; bloq =
Table S8,Unweighted UniFrac — midgut : runs significatifs séquentiel / station bloquée,3 / 3,3 / 3 [sans pos : 2 / 3],3 / 3 [sans pos : 2 / 3],inchangé,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos = ; séq = ; bloq =
Table S8,Unweighted UniFrac — hindgut : runs significatifs séquentiel / station bloquée,0 / 0,0 / 2 [sans pos : 0 / 0],0 / 2 [sans pos : 0 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos = ; séq = ; bloq indét.
Table S8,Weighted UniFrac : R² catégorie (%) encadrement ; R² station (%),1.65–3.19 ; 29.0,1.65–3.35 ; 29.0,1.38–3.70 ; 28.2,tient (ordres de grandeur),étiquettes / effectif,,
Table S8,Weighted UniFrac — caudale : runs significatifs séquentiel / station bloquée,3 / 3,3 / 3 [sans pos : 3 / 3],0 / 0 [sans pos : 0 / 0],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos DÉFINITION ; bloq+pos DÉFINITION ; séq DÉFINITION ; bloq DÉFINITION
Table S8,Weighted UniFrac — branchie : runs significatifs séquentiel / station bloquée,3 / 0,1 / 0 [sans pos : 1 / 0],0 / 0 [sans pos : 0 / 0],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos indét. ; bloq+pos = ; séq indét. ; bloq =
Table S8,Weighted UniFrac — midgut : runs significatifs séquentiel / station bloquée,0 / 3,0 / 0 [sans pos : 2 / 0],0 / 3 [sans pos : 2 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos DÉFINITION ; séq = ; bloq DÉFINITION
Table S8,Weighted UniFrac — hindgut : runs significatifs séquentiel / station bloquée,0 / 0,0 / 0 [sans pos : 0 / 0],0 / 3 [sans pos : 1 / 3],change,étiquettes (passe 2) ; étiquettes + effectif (passe 1),,séq+pos = ; bloq+pos indét. ; séq EFFECTIF ; bloq DÉFINITION
§8.9 ; Table S8,"CAUDALE, UniFrac pondéré : détectée 3/3 runs dans les 2 schémas","3 / 3 (p séq. 0,005–0,018 ; bloqué 0,004–0,010)","3 / 3 (p séq. 0,012–0,030 ; bloqué 0,014–0,026) ; sans position 3 / 3","0 / 0 (p séq. 0,19–0,33 ; bloqué 0,12–0,15) ; sans position 0 / 0 (bloqué 0,073–0,095)","TIENT en passe 1, TOMBE en passe 2",étiquettes (n identique entre août et passe 2),,"séq+pos DÉFINITION ({0: np.int64(20)}) ; bloq+pos DÉFINITION ({0: np.int64(20)}) ; séq DÉFINITION ({0: np.int64(19), 1: np.int64(1)}) ; bloq DÉFINITION ({0: np.int64(18), 1: np.int64(1), 2: np.int64(1)})"
§8.9,"CAUDALE, UniFrac pondéré à 500 lectures : « inchangé »","3 / 3 (séq. 0,007–0,037 ; bloqué 0,007–0,014)","0 / 0 (séq. 0,074–0,141 ; bloqué 0,069–0,097)","0 / 0 (séq. 0,29–0,42 ; bloqué 0,16–0,22)",TOMBE dans les deux passes,passe 1 : effectif ; passe 2 : étiquettes,passe 1 : le signal à 3 000 n'est plus confirmé par la sensibilité à 500,non testé : le témoin d'effectif n'a pas été lancé à 500 lectures
§8.9,"HINDGUT le plus faible : seul Jaccard, 2/3 séq. et 1/3 bloqué (p 0,036, 0,041, 0,063 ; 0,042, 0,052, 0,123)",2/3 ; 1/3 ; autres métriques 0,"Jaccard 1/3 séq. ; 3/3 bloqué (p 0,015–0,044) ; UF non pondéré 0/2 ; BC et UF pondéré 0/0","Jaccard 3/3 ; 3/3 ; BC 1/3 ; 3/3 ; UF non pondéré 0/2 ; UF pondéré 0/3 — en schéma bloqué, les 4 métriques détectent le hindgut dans ≥ 2 runs",passe 1 : partiellement ; passe 2 : TOMBE (le hindgut n'est plus le plus faible),étiquettes (passe 2),,"séq+pos EFFECTIF ({1: np.int64(12), 2: np.int64(6), 3: np.int64(2)}) ; bloq+pos = ({2: np.int64(9), 3: np.int64(11)}) ; séq = ({0: np.int64(17), 1: np.int64(1), 2: np.int64(2)}) ; bloq indét. ({1: np.int64(1), 2: np.int64(9), 3: np.int64(10)})"
§8.9,"témoins séparable et Rosières : « underpowered, neither confirms nor refutes »",séparable 0/48 ; Rosières 0/48,"séparable 3/48 ; Rosières 6/36 après position, portés par UN seul hybride ; 0/36 sans position (plancher p = 0,054)","séparable 1/48 ; Rosières 6/48 : branchie, Jaccard et UF non pondéré, 3/3 runs, avec et sans position",passe 1 : Rosières non interprétable ; passe 2 : Rosières détecte un effet branchie,étiquettes (passe 2) ; effectif (passe 1),,
§8.9,"PERMDISP, station bloquée : Hy le moins / le plus dispersé sur 48 ; binomiale","31 / 9 ; p = 9,4×10⁻⁶",32 / 7 ; p = 2.4e-06,34 / 8 ; p = 1.2e-07,tient,étiquettes / effectif,,
§8.9,PERMDISP intra-station : Hy le moins dispersé ; binomiale,"52 / 108 ; p = 1,0×10⁻³",45 / 68 ; p = 3.2e-08 (Saint-Just non testable),41 / 120 ; p = 0.46 (Saint-Just entre),"passe 1 : tient ; passe 2 : ne tient plus sur l'ensemble, tient sur les strates communes",jeux de strates différents,"sur les 68 strates communes aux 3 passes : 38/68 (p=1e-4), 45/68 (p=3e-8), 31/68 (p=0,024)",
§8.9,PERMDISP : tests significatifs dans le sens transgressif (station bloquée ; intra),1 ; 0,1 ; 0,0 ; 5,passe 1 : tient ; passe 2 : 5 tests intra transgressifs,étiquettes,"les 5 : branchie de Saint-Just, 3–4 Pt par strate (BC 2 runs, UF pondéré 3 runs)",
§8.9,"écart médian Hy − moyenne parentale, Bray–Curtis",-0.036,-0.029,-0.065,signe conservé,étiquettes / effectif,,
§8.9,"écart médian Hy − moyenne parentale, Jaccard",-0.010,-0.015,-0.009,signe conservé,étiquettes / effectif,,
§8.9,"écart médian Hy − moyenne parentale, Unweighted UniFrac",-0.022,-0.026,-0.016,signe conservé,étiquettes / effectif,,
§8.9,"écart médian Hy − moyenne parentale, Weighted UniFrac",+0.002,+0.000,-0.005,SIGNE CHANGE,étiquettes / effectif,,
§8.9 ; Table S9,"caudale : hétérogénéité de dispersion, Bray–Curtis","3/3 global, 0/3 intra","3/3 global, 0/3 intra","0/3 global, 0/6 intra",change,étiquettes,,
§8.9 ; Table S9,"caudale : hétérogénéité de dispersion, Jaccard","3/3 global, 3/3 intra","3/3 global, 3/3 intra","3/3 global, 3/6 intra",tient,étiquettes,,
§8.9 ; Table S9,"caudale : hétérogénéité de dispersion, Unweighted UniFrac","3/3 global, 3/3 intra","3/3 global, 3/3 intra","1/3 global, 3/6 intra",change,étiquettes,,
§8.9 ; Table S9,"caudale : hétérogénéité de dispersion, Weighted UniFrac","0/3 global, 0/3 intra","0/3 global, 0/3 intra","0/3 global, 0/6 intra",tient,étiquettes,,
§8.9,"« caudale UniFrac pondéré : différence de composition, pas de variabilité »",dispersion homogène ET localisation 3/3,dispersion homogène ET localisation 3/3,"dispersion homogène, mais plus de localisation (0/0)",passe 1 : tient ; passe 2 : l'argument n'a plus d'objet,étiquettes,,
§8.9,"« P. toxostoma le plus variable là où la dispersion diffère (caudale, hindgut) »","Pt : caudale 9, hindgut 4 (sur 19 tests signif.)",caudale Pt: 8; midgut Cn: 4; caudale Cn: 1; hindgut Pt: 1; midgut Pt: 1; branchie Hy: 1; branchie Cn: 1,midgut Pt: 7; midgut Cn: 5; hindgut Pt: 4; caudale Pt: 4; branchie Cn: 2,passe 1 : tient ; passe 2 : le motif se déplace vers le midgut,étiquettes,,
